

Hefei 3193380

Feihe (Hefei) 78565
Daxing (Hefei) 38199
Dayang (Hefei) 60633
Nangang (Hefei) 12594

Jinggang 112896
Gangji 50960
Liugang 28711
Yanliu 55368
Gaoliu 50982
Taolou 17730
Bailong 49374
Baogong 38889
Tongyang 49727
Tongda 56890
Longqiao 44884
Qianqiao 48752
Leqiao 52382
Guanbuqiao 30515
Juanqiao 27441

Anqing 540804
Yangqiao (Anqing) 20005
Sanqiao 20670
Pingshan (Anqing) 30459
Qianshan 19565
Tianzhushan 11397
Tiantang 55102
Xiangchang 14120
Zhongguan 15955
Guanzhuang 23818
Huangjia 11552
Huangbai 12503
Shuanggang 44705
Fangang 58092
Ganchahe 44207
Shucha 18302

Chengguan (Shucheng) 183183

Lucheng 164883
Shengqiao 57568
Yanqiao 57793
Gongqiao 37839
Laoqiao 48905
Baiqiao 36750
Taibai 50698
Xibu 46110
Qingxi 42279
Yinping 30574
Xingang 19024
Digang 35145
Dingqiao 17105
Miaoqian 20211
Jiuhua 4441
Youhua 12746
Huangcun 18094

Jingchuan 106144
Jingyang 39478
Yangxi 10742
Sanyang 15825
Sanxi 9680
Sankou 7055
Tangkou 15177
Chengkan 11176

Huicheng 74349
Gengcheng 7729
Zhengcun 17277
Xiongcun 11291
Wangcun 21996
Wan'an 21397

Huangshan 132512
Yanghu (Huangshan) 42028
Shangshan 20965
Xikou (Huangshan) 22024
Likou 11088
Xiaolukou 4786
Liukou 4232
Qiankou 11927
Tanjiaqiao 6730
Caijiaqiao 11890
Langqiao 26156
Dingjiaqiao 13600
Eqiao 39521
Huaqiao 28117
Liqiao 48025
Biqiao 15503
Shiqiao 45866
Xinshi 34626

Ma'anshan 582886
Xiangshan 56480
Xiangquan 34160

Xianghe 138554
Xianzong 55568

Shenxiang 101875
Xiang'an 48150
Hongxiang 41866
Hongmiao 36474
Zhonghan 26866
Tongzha 25880
Zhaoguan 20264

Chaohu 322317
Taochang 32387
Nicha 56480
Niandou 32215
Dougou 59839
Tanggou (Wuhu) 51597

Wuhu 1267521
Huhe 26841

Xuzhen 77048

Xuancheng 314594
Wenchang 13502
Xikou (Xuancheng) 20217
Suncun (Xuancheng) 7981
Huayang (Xuancheng) 53319
Yingzhou 7513
Shangzhuang 11609
Baidi 10458
Banshu 8990
Jinsha 7060
Hule 10246
Yunle 4657
Yucun 10327
Caicun 14594
Yandun 11770
Yangtian 16698
Lingyang 22341
Yunling 31937
Sanli 28516
Yangliu 27088
Hongyang 34197
Shuiyang 66209
Huyang 26890
Danyang 51482

Liyang 144733
Shiyang 29733
Shiji 21887
Shipei 17602
Shizi (Chuzhou) 31266

Chuzhou 409639

Xin'an (Chuzhou) 105628
Dushan (Chuzhou) 18688
Zhangshan 20393
Shunshan 26676
Nushanhu 37684
Sanheji 28048
Sangjian 28692
Sanjie 14168
Sancheng 18389
Zhengji 19184
Liuzhen 34366
Daliu 8314
Zhangbaling 24456
