

Sofia 1238438
Bozhurishte 4360
Kostinbrod 12175
Godech 5154
Dragoman 3814
Roman 3571
Mezdra 11975

Vratsa 64941
Bratsigovo 4577
Peshtera 18676
Perushtitsa 5350
Koprivshtitsa 2885
Zlatitsa 5786
Chelopech 1760

Lovech 42211
Ugarchin 2965
Balchik 13000
Valchidol 3697
Suvorovo 4563
Bolyarovo 1368
Kolarovo 1697
Anton 1697
Sandanski 26459
Bansko 9232
Razlog 12486

Razgrad 38285
Senovo 1459
Ivanovo 1031
Tsenovo 2229
Borovo 2467
Dve Mogili 4526

Silistra 39715
Alfatar 1916
Bata 1235
Aheloy 2112
Ravda 2556
Chavdar 1398
Strelcha 4545
Panagyurishte 19389

Targovishte 37774
Svishtov 32256
Belene 9781
Elena 6042
Debelets 4418
Lyaskovets 8488

Gorna Oryahovitsa 32792
Dryanovo 8346
Tryavna 13818

Gabrovo 66175
Shipka 1604

Kazanlak 55196
Laki 3258
Rakitovo 8376
Velingrad 24036
Elin Pelin 7373
Gorna Malina 1501
Buhovo 3283
Elhovo 11107
Topolovgrad 6464
Simeonovgrad 7388

Dimitrovgrad 43288

Asenovgrad 52170
Bachkovo 374
Kovachevtsi 469
Batanovtsi 2519
Radomir 14755
Mirkovo 1882
Smolsko 271
Smolyan 32069
Rudozem 3783
Zemen 2107
Kameno 4952
Aytos 20986
Parvomaytsi 2867
Parvomay 17000
Chirpan 17243
Opan 525
Gulubovo 8400
Gulyantsi 3589
Ruzhintsi 1269
Brusartsi 1734
Medkovets 2690
Yakimovo 2665
Valchedram 5207
Hayredin 2228
Mizia 3712
Dolna Mitropolia 3479
Nikopol 4137
Topolovo 2600
Ahtopol 1107
Kaynardzha 1107

Kardzhali 51000
Ardino 3531
Nedelino 5017
Zlatograd 7331
Belogradchik 5688
Belovo 4155
Beloslav 7989
Avren 883
Gyovren 1040
Borino 3084
Vetrino 1368
Petrich 30308
Krichim 8580

Dobrich 94831
General Toshevo 7758
Kranevo 922
Balgarevo 1375
Tsarevo 6085
Sarafovo 3290

Burgas 195966
Pomorie 13714
Chernomorets 2194
Chernoochene 366
Kocherinovo 2872
Porominovo 514
Borovets 800
Boboshevo 1784
Bobov Dol 6184

Dupnitsa 34764
Letnitsa 3528
Levski 11467

Pleven 118675
Teteven 10790
Yablanitsa 3237
Shabla 3901
Krushari 1722

Ruse 156238
Slivo Pole 3252

Sliven 96368
Slivnitsa 7545
Breznik 4004

Pernik 82467
Isperih 9735
Zavet 3589
Vetovo 5175
Sitovo 1140
Glavinitsa 2220
Boynitsa 884
Kula 3738
Kubrat 8980
Bratya Daskalovi 997
Kaloyanovo 2782
Kalofer 3248
Karlovo 19958
Iskar 4329
Dolni Dabnik 5259
