

Shijiazhuang 2634163
Donglizhuang 48686
Dongting 33772
Wugong 36605
Zongshizhuang 49014

Jizhou 124716
Jiucheng (Shijiazhuang) 38632
Xinxing (Baoding) 49161
Qingfengdian 43703
Xingjianan 34972
Xianyu 41041
Gudian 28132
Zhangduangu 42911
Huangbizhuang 16469

Zanhuang 66255
Guozhuang (Shijiazhuang) 41000
Zhonghanzhuang 26579

Cuizhuang 66747
Kangxianzhuang 48425
Xiaowang Guozhuang 28398
Zhangliuzhuang 35905
Dazhuang 23559
Zhugezhuang (Baoding) 34165
Wangzhuangzi 37781
Xinxing (Cangzhou) 36740
Xinglonggong 28535
Fangguan 46090
Jinzhuang 33888
Migezhuang 56577
Dongsunzhuang 33289
Luozhuang 34884
Guangchuan 32567
Laoguanzhai 37513
Guandaoli 18789
Hanzhuang 37745
Zunzuzhuang 36391
Liulizhuang 45276
Daliuhe 38760
Dawangdian 39184
Liangjiacun 48257
Weicun 38384
Zhaobeikou 17152

Zhuozhou 221776
Qigezhuang 20641
Laozhuangzi 36052
Yanggezhuang 38542
Qishuzhuang 17775
Baigezhuang 47200
Dongxinzhuang 36428

Luanzhou 178400
Heiyanzi 18737
Caiyuan 25885
Malanyu 24569
Yu'erya 27099
Yangguanlin 25904
Qingsongling 13407
Shuangfengsi 25443
Shimen (Tangshan) 32341
Shangbancheng 34299
Shuangshanzi 20657
Jiashan 19933
Shaliuhe 32778
Daxinzhuang (Tangshan) 54315
Shuangwang 25871
Rengezhuang 32754
Maozhuang 30910
Dacuizhuang 23631
Shigezhuang 27995
Yaowangzhuang 16959
Malanzhuang 19169
Sigezhuang 42460
Liutaizhuang 22797
Wanglanzhuang 37865
Qianwang 25229
Suqiao 34573
Liangjiaying 26201
Nanjianta 28231
Nanzhaofu 44123
Monan 38158
Tongkou 31576
Lugongbao 38226

Yongqing 118494
Wangting 39184
Daying (Baoding) 36660
Xingcun 54933
Xinzhen 32294
Shucheng 51390
Chenzhuang (Cangzhou) 32968
Donghuangcheng 28546

Cheng'an (Shijiazhuang) 73149
Chengdong 29297
Zhengmo 21377
Shennan 10937

Rongcheng 69143
Shenxing 37545
Daxinzhuang (Baoding) 30383
Xing'an 50703
Yangping 42091
Nanying 43018

Pingshan 120631
Wangjing 49229

Jinzhou 135521
Dongwang (Ningjin) 35697
Songying 56406
Dongzhen 25652

Nangong 117074
Jiasong 49112
Dongzhangbao 31573
Hezhao 34549
Chaibao 42991
Shangcheng 60146
Dongzhangmeng 23701
Dongguocun 20988
Guangzong 58266

Linmingguan 132093
Jingdian 41474
Dongliang 54210
Xiangchenggu 30045
Huangliangmeng 56896
Shuangjing 43629
Wangguanzhuang 55258

Guangping 66384
Huangsha 16579
Zhang'erzhuang 56975
Fangzhai 25437
Xiaoluzhai 23097

Gexianzhuang 122917
Weijiazhuang 31869
Dongyangzhuang 40693

Mingzhou 69924
Shengying 45214
Yijing 54899
Pingxiang 36907
Jianzhong 37329
Xunzhai 24983
Zhucun 40317
Qiucheng 32605
Hucun 29893
Jiangjunmu 13420
Tianchang 38656
Jiangshui 24356
Shucun 25962
Guchengying 30688
Yincun 48011

Luancheng 84068
Gengzhuangqiao 57617
Dongzhuosu 45748
Nanzhuang 35893
Beixinzhuang 31876
Beihe 19637
Yangcheng 37981

Raoyang 63559
Zhaoqiao 36123
Wuguanzhai 36729

Shenzhou 86164
Gucheng 45309
Datun (Hengshui) 25662
Dachen 30951
Macun 33268
Matoupu 40010
Weizhou 25830
Beiwangli 44112
Nanliuzhuang 28153
Jiaotanzhuang 6576
Zhuanlu 53697
Nanwangzhuang 32948
Nanmeng (Shijiazhuang) 44317
Zhangguzhuang 29079
Xiaozhang 14171
Jiaohe 43547
Weijiatun 16611
Jiashizhuang 48274
Xizhong 38319
Dongxu 24046
Xinzhongyi 40081
Dongmaying 30841
Daceying 36091

Dingzhou 310558
Pingyang 24036
Gangshang 37244
Nanzhangcheng 8707
Guchengdian 37626
Dongwang (Xiangdou) 32557
Daying (Shijiazhuang) 32016
Yingli 31981

Zhengding 158599
Qicun (Baoding) 14772
Qiji (Shijiazhuang) 41134
Wangjiajing 34807
Jiahui 12519
Xincheng (Shijiazhuang) 20899
Encha 15594
Xiguocheng 14133
Xincheng (Xingtai) 41288
Guxin 24404
Xishu 17848

Shahe 182222

Linzhang 86979
Zhangxibao 45614
Luzhai 37434
Tiantaishan 39728
Weisengzhai 35824
Xisu 60866
Xingjiawan 40550
Wangkou 34884
Wangtongyue 28548
Longdian 27084

Dongguang 74999

Huanghua 175796
Gougezhuang 27455
Xinlizhuang 39474
Lianggezhuang 27710
Jijiazhuang 21179
Yihezhuang 34359
Liqizhuang 26667

Xugezhuang 131148
Xiaomazhuang 36198
Xiaoyingzi 33213
Xindianzi 48832
Anjiang 14856
Yangzhuang 26469
Gaoguanzhuang 25389
Zuogezhuang 34648
Xiaowangzhuang 36573
Xiaoqiaotou 27763
Xinleitou 40761
Xizhaotong 45711
Sizhilan 57956
Zhangjiazhuang 52604
Zhengzhang 36229

Mancheng 118104

Hengzhou 81833
Juncheng 21732
Gucheng (Baoding) 45429
Sizhuang (Wangdu) 31533

Anping (Hengshui) 100035
Fangshunqiao 42574
Shangcun 34268
Nanhancun (Baoding) 43141
Nantun 8622
Jiacun 26741
Liucun (Baoding) 28052
Daliuzhen 39839
Dusheng 41774
Duancun 39136
Guang'an 38862
Bieguzhuang 24591
Liugezhuang 42611
Liushi 54151
Liangzhao 41859
Guozhuang (Cangzhou) 31409
Zhaogezhuang (Langfang) 46495
Xincheng (Baoding) 44539
Suicheng 45637
Baichigan 40748

Baoding 877307

Suning 65314
Liqingu 47398
Gaoying 33884
Gangnan 27115
Chang'an 52823

Hantai 72633
Gaochang 31750
Shangbei 14902
Shanyincun 12957
Dalucun 45338
Dadi 23763
Dawunu 23979
Dabaichi 55787
Santai 60665
Wofotang 48986
Nanmeng (Langfang) 41019
Zangang 31671

Wanzhuang 67158
Dawang 26538

Dashangtun 64671
Nanzhang 43401
Zhaozhuang 27044
Zhaoba 35747
Xinzhaidian 30025
Xingyi 33901
Xin'an 37715

Lingshan 69310
Peishan 33800
Changgucheng 36937
Chatou 19266

Lianzhou 128209
Nanzuo 15704
Guanzhuang 29068
Beizhangzhuang 28196
Caozhuang 34973
Liang'erzhuang 27361
Shuangta 36895
Huangsi 31841
Disituan 39827
Jindian 62384
Sujiaying 35230

Xinji (Shijiazhuang) 176308
Dengzhuang 26081
Liangji (Cangzhou) 20364
Jianguo 48953
Weijiaqiao 29341
Wangqiansi 27351
Wanli 34162
Litan 23988
Lilancheng 25322
Xinji (Langfang) 40408
Matou (Baoding) 34281
Xiaonan Xinbao 15134
Jiangxintun 14559
Jianchapu 41613
Machang 40893
Liangmatai 26443
Tang'erli 30819
Huangzhuang 39387
Shuangqiao 13725
Gushu 25040
Moguyu 17279
Xiaguanying 31303
Zhucaoying 22276
Angezhuang 25457
Panzhuang 24363
Changzhuang (Tangshan) 20227
Jinchangyu 17289
Xinzhangzi 12456
Zhangsanying 19743
Louzhangzi 22751

Changli 132578
Zushan 21722
Tiechang 18330
Chengzhuang 50828
Jianggezhuang 48646
Jianchangying 43896
Qingtuoying 28011

Liushouying 63836
Santunying 28974
Yanheying 30499
Xingcheng 52814

Xinglong 75381
Donghuangyu 14436
