

Prague 1324277
Krasikov 312
Vojkovice 1032
Tojice 96
Litichovice 47
Vresovice 622
Otvovice 701
Zelatovice 550
Sojovice 441
Dublovice 988
Rebesovice 679
Zisov 159
Zavisice 756
Mirovice 1658
Zvestovice 62
Vyrovice 172
Unejovice 72
Kraslovice 144
Drhovice 185
Drahonice 356
Pasecnice 199
Bohunice 44
Lochenice 504
Blatnice 688
Svetnov 414
Klentnice 540
Kanicky 34
Mackov 284
Sepekov 1343
Tymakov 648
Hostalkovy 655
Krekov 160
Cermakovice 91
Dretovice 430
Snedovice 729
Horesovice 243
Velky Borek 845
Horni Bukovina 206

Palkovice 2751
Nelesovice 194
Tochovice 571
Cankovice 331
Krecovice 699
Obedovice 236
Zelechovice 203
Stanovice 495
Vilemovice 280
Semnevice 143
Stremosice 184
Radhostice 173
Velhartice 920
Konarovice 664
Cachovice 768
Prisovice 1277
Lounovice 519
Polesovice 1941
Myslejovice 624
Zdislavice 521
Cernikovice 672
Chodovice 215
Dolni Lochov 50
Kocelovice 184
Hlusovice 369
Kyskovice 259
Radnovice 316
Pohorovice 73
Dobrovitov 124
Beharov 156

Trebechovice pod Orebem 5611
Machov 1109
Vraclav 757
Tvrzice 110
Hostovice 236
Orlovice 323
Zdechovice 667

Stare Nechanice 2180
Kneznice 221
Janske Lazne 880
Vranany 855
Dekanovice 55

Dobrovice 2954

Zelezny Brod 6442
Velke Zernoseky 480
Mseno 1417
Jenisovice 850
Starovice 761
Trebestovice 799
Boranovice 483
Stechovice 1377
Horovicky 478

Dobrichovice 2874
Lysovice 244
Domanovice 132
Prachovice 1522
Vicenice 213
Vernirovice 184
Postovice 197
Dankovice 136
Damnikov 685
Postrekov 1129

Vyskov 22265
Lysice 1831
Knovice 317
Nitkovice 283
Michalovice 148
Strachonovice 87
Velke Janovice 121
Presovice 136
Predklasteri 1446
Horni Stepanov 1002
Nove Sedlice 473
Drahanovice 1699
Zborovice 1619
Milesovice 630
Bubovice 222
Jirikovice 871

Vacenovice 2157
Zahorovice 1058
Pavlovice u Prerova 790
Starechovice 535
Kuparovice 249
Jezkovice 361
Troskotovice 598
Misovice 245
Blazovice 1076
Milonovice 282

Zidlochovice 3075
Strachotice 974
Lesetice 97
Mlecice 326
Omice 719
Oslavice 601
Jevisovice 1162
Opatovice 962
Oslnovice 108
Hlohovice 344
Vreskovice 260
Rovensko 719

Kunstat 2637
Benatky 316
Sebetov 911
Lisek 371
Sousedovice 210
Cetechovice 211
Neslovice 832
Radosovice 556

Cejkovice 2527
Malenovice 413
Krhovice 499
Ostopovice 1367

Bucovice 6386

Otrokovice 18857
Rozdrojovice 656
Polkovice 498
Vsechovice 873
Bochor 1000
Zaborna 202
Zajecice 933

Albrechtice 4019

Bruntal 17686

Kraliky 4723
Prikazy 1224
Drinov 446
Noviny pod Ralskem 260
Veverske Kninice 824
Udrnice 285
Suchonice 162
Oldrichov 225
Drazovice 814

Boskovice 11121
Velesovice 951
Jankovice 462

Slusovice 2904
Mankovice 604
Strahovice 895
Stepanovice 637

Hanusovice 3556
Unesov 544
Nelahozeves 1313
Oponesice 178
Prusinovice 1207
Charovice 155
Hojovice 69
Neplachovice 876
Arnestovice 76
Rimovice 185
Chystovice 42
Cechy pod Kosirem 982
Chotesice 323
Bitouchov 289
Libis 1807
Ocelice 244
Prichovice 981
Prisimasy 500
Cisovice 738
Stetkovice 294
Turovice 222
Ostrovacice 587
Bystrany 1840
Bykev 351
Kladeruby nad Oslavou 193
Horni Radechova 458
Tehov 405
Ctetin 268
Pleteny Ujezd 405
Vrany 747
Raby 560
Stranka 222
Trhova Kamenice 865
Kounice 948
Krhanice 826
Jistebnice 2007
Burenice 214
Drahobudice 198
Bukovno 621
Hnevkovice 566
Pavlovice 173
Chrenovice 161
Novy Rychnov 947
Nove Mesto 376
Simanov 157
Mesin 187
Kubsice 153
Celechovice 96
Bechary 219
Tri Dvory 866
Smidary 1523
Svinarov 653
Mirosovice 894
Radkovice 90
Tvorovice 303
Loveckovice 464
Bochovice 156
Rozsochatec 507
Pocitky 191
Jencice 316
