

Le Havre 185972
Breaute 1125
Routes 182
Bois-Guilbert 194
Foulognes 186
Gorges 364
Retonval 197
Bazinval 307
Puisenval 24
Truttemer-le-Petit 120
Robertot 118
Aubusson 347
Ocqueville 459
Morville-sur-Andelle 228
Le Catelier 228
Le Chesne 440
Besneville 529
Tonneville 602
La Bonneville 145
Renneville 214
Gonneville 874
Bosville 526
Videcosville 90
Sideville 501

Doudeville 2611

Mondeville 11582

Ouistreham 9067
Amblie 305
Maucomble 326
Cramenil 165
Menil-Vin 62
Monceaux-au-Perche 85
Ronai 142
Gueron 248
Golleville 174
Marbeuf 317
Medavy 176
Dame-Marie 180
Pinterville 800
Baudreville 88
Juvigny-sous-Andaine 1071
Chandai 542
Chanteloup 285
Le Mesnil-Durand 288
Bourdainville 387
Ouainville 496
Douains 489
Couvains 426
Cristot 167
Saint-Christophe-sur-Conde 372

Saint-Contest 2101

Soliers 1818
Glisolles 924
La Gueroulde 654
Le Gue-de-la-Chaine 705
Le Champ-de-la-Pierre 25
Saint-Pierre-la-Vieille 367
Saint-Pierre-la-Garenne 921
Saint-Pierre-Tarentaine 266
Saint-Pierre-du-Bu 432
Saint-Pierre-du-Bosguerard 900
Bosguerard-de-Marcouville 506
Beuzeville-la-Guerard 154
Le Mesnil-sous-Jumieges 595
Saint-Georges-de-Bohon 436
Saint-Georges-du-Vievre 687
Saint-Georges-de-Rouelley 528
Montmartin-sur-Mer 1121
Neville-sur-Mer 170
Colleville-sur-Mer 180
Berville-sur-Mer 492
Cauville-sur-Mer 1360
Vierville-sur-Mer 249

Gouville-sur-Mer 1722
Fermanville 1451
Tanville 265
Barenton 1426
Mesnil-Clinchamps 875
Champsecret 1055
Saint-Ouen-des-Champs 306
Saint-Philbert-des-Champs 640
Saint-Loyer-des-Champs 371
Vendeuvre 763
Tremont 95
Tremauville 96
Gauville 482
Ecauville 79
Campagnolles 408
Fierville-les-Parcs 221
Auzouville-Auberbosc 270
Ouville 406
Trouville 577
Trouville-la-Haule 709
Ablon 1094

Sainte-Adresse 8310
Vessey 408
Aucey-la-Plaine 373
Le Mesnil-Aubert 156
Le Mesnil-Angot 51
Pierres 210
Les Trois-Pierres 746

Courcelles-sur-Seine 1601
Hautot-sur-Seine 356
Montilly-sur-Noireau 778

Briouze 1597
Couterne 1050
Saint-Denis-de-Villenette 131
Pierrefitte-en-Cinglais 243

Aunay-sur-Odon 3038
