

Nantes 277269
Vernantes 2002
Saint-Philbert-du-Peuple 1186
Saint-Philbert-de-Bouaine 2413

Saint-Philbert-de-Grand-Lieu 6757
Port-Saint-Pere 2306

Pont-Saint-Martin 5114
Saint-Mars-de-Coutais 2360
Saint-Lumine-de-Coutais 1770
La Bazouge-de-Chemere 462
La Bazouge-des-Alleux 275
Ardenay-sur-Merize 450
Le Breil-sur-Merize 1181
Soulitre 583
Souligne-Flace 695
Coulans-sur-Gee 1313
Brains-sur-Gee 481
Brains-sur-les-Marches 234
Saint-Aignan-sur-Roe 976
Saint-Aignan 207
Maresche 733
Mareil-sur-Loir 536
Le Pas 536
Le Pallet 2574

Vallet 7483
Mouzillon 2385
Bouzille 1353
Le Marillais 707
Marillet 122
Huille 426
Greez-sur-Roc 426
Parne-sur-Roc 989
Entrammes 1951
Argentre 2462
Argenton-Notre-Dame 192
Coudray 670
Montreuil-sur-Maine 586
Pouille 586
Ecuille 481
Cuille 897
Saint-Paul-du-Bois 600
Saint-Paul-en-Pareds 1005
Pruille 556
Pruille-le-Chetif 1282
Saint-Georges-du-Bois 1847
Saint-Georges-du-Rosay 407
Saint-Georges-de-Pointindoux 1214
Saint-Georges-le-Flechard 249
Saint-Georges-le-Gaultier 569
Saint-Paul-le-Gaultier 275
Parnay 483
Saint-Saturnin-du-Limet 575
Saint-Samson 354
Saint-Saturnin 2281
La Milesse 2372

Plesse 3833
Guenrouet 2601
Rouez 754
Rouesse-Fontaine 232
Fontaines 945
Villaines-sous-Luce 597
Chalonnes-sous-le-Lude 142
Crennes-sur-Fraubee 184
Varennes-sur-Loire 1954

Chalonnes-sur-Loire 5950
Saint-Georges-sur-Loire 3177
Montjean-sur-Loire 2796
Champtoce-sur-Loire 1610
Le Fresne-sur-Loire 700
Ingrandes 1503

Guerande 16523
Saint-Malo-de-Guersac 3408
Saint-Malo-du-Bois 1291
Saint-Macaire-du-Bois 404
Neau 746
La Gravelle 575
Le Bernard 663
Lavernat 456
Vernoil-le-Fourrier 1285
Saint-Germain-le-Fouilloux 711
Andouille 2177
Douillet 294
Souille 485
Rouillon 2460

Allonnes 11949
Brain-sur-Allonnes 1826
Neuille 924
Vivy 2054
Saint-Maurice-le-Girard 569
Saint-Maurice-des-Noues 617
Antigny 1218
Montigny 55
Saint-Jean-de-la-Motte 891
Saint-Just-sur-Dive 357
Thoire-sur-Dinan 386
La Chartre-sur-le-Loir 1633
Ruille-sur-Loir 1368
Vouvray-sur-Loir 897
Vouvray-sur-Huisne 94
Juigne-sur-Sarthe 1232
Moitron-sur-Sarthe 166
Noyen-sur-Sarthe 2401
Parce-sur-Sarthe 1891

Sable-sur-Sarthe 14734
Poille-sur-Vegre 676
Brulon 1427
Coulonge 568
Coulombiers 401
Vergonnes 302
Beaulieu-sur-Oudon 420
Beaulieu-sur-Layon 1126
Chaudefonds-sur-Layon 834
Clere-sur-Layon 375
Dangeul 536
Fromentieres 786
Crosmieres 739
Beauvau 220
Beauvoir-sur-Mer 3625
Saint-Gervais 1763
Saint-Gervais-de-Vic 386
Charchigne 422
Saint-Cyr-le-Gravelais 513
Saint-Julien-des-Landes 1179

Saint-Julien-de-Concelles 6758

Le Loroux-Bottereau 5326
Le Landreau 2674
Landemont 1568
Barbechat 1140
Barbatre 1517
Joue-en-Charnie 551
Neuvillette-en-Charnie 224
Chemire-en-Charnie 212
Vire-en-Champagne 173
Saint-Christophe-en-Champagne 200
Saint-Quentin-les-Beaurepaire 223
Saint-Pierre-des-Bois 156
Saint-Pierre-sur-Erve 156
Saint-Pierre-sur-Orthe 556
Saint-Martin-de-Connee 441
Saint-Martin-de-la-Place 1135
Saint-Clement-des-Levees 1068
Saint-Clement-de-la-Place 1463
La Poueze 1499
Brain-sur-Longuenee 807
La Membrolle-sur-Longuenee 1548
Le Plessis-Mace 1001
Le Plessis-Grammoire 2123
Pellouailles-les-Vignes 2333
Louailles 507
Auzay 559
La Bazoge-Montpincon 557
Loge-Fougereuse 394
Parigne-sur-Braye 662
Besse-sur-Braye 2745
Vibraye 2707
Sceaux-sur-Huisne 574
Le Luart 1093
Dollon 1292
Semur-en-Vallon 463
Torce-en-Vallee 849
Saint-Cosme-en-Vairais 1960
Saint-Celerin 434
Saint-Cenere 480
Saint-Corneille 863
Corne 2706
Andard 2302
La Bohalle 1301
La Dagueniere 1310
Monnieres 1659

Les Sorinieres 6698
La Gueriniere 1559

Noirmoutier-en-l'Ile 4800
Les Moutiers-en-Retz 1145
Arthon-en-Retz 2888
Bourgneuf-en-Retz 2591
Fresnay-en-Retz 929
La Bernerie-en-Retz 2296

Saint-Pere-en-Retz 3882
Chauve 1822
Chauche 2055
Boulogne 585
Les Lucs-sur-Boulogne 2892
Corcoue-sur-Logne 2480
La Limouziniere 1518

La Seguiniere 3744
Saint-Christophe-du-Bois 2667
Saint-Christophe-du-Luat 580
Landivy 1344
Chailland 1176
La Baconniere 1449
La Guyonniere 2629
Treize-Septiers 2561
Saint-Andre-Treize-Voies 1019
Saint-Sulpice-le-Verdon 659
Saint-Sulpice 198
Saint-Symphorien 539
Tremont 372
Toutlemonde 1038
Cernusson 273
Les Landes-Genusson 2138
Tiffauges 1437

Pouzauges 5912
Saint-Remy-en-Mauges 1298
Neuvy-en-Mauges 755
Bourgneuf-en-Mauges 732
Saint-Quentin-en-Mauges 1047
Beausse 382

Beaupreau 6932
Andreze 1905
Saint-Andre-de-la-Marche 2701

Saint-Macaire-en-Mauges 6033
La Renaudiere 836
La Romagne 1652

Mortagne-sur-Sevre 6428

Saint-Laurent-sur-Sevre 4799
La Pommeraie-sur-Sevre 1005
La Meilleraie-Tillay 1613
Mouilleron-en-Pareds 1324
Bazoges-en-Pareds 1127
Bazoges-en-Paillers 898
Chavagnes-en-Paillers 3168
Les Brouzils 2311

Les Essarts 4483
La Merlatiere 689

La Ferriere 4362
La Ferriere-de-Flee 276
Saint-Michel-de-Feins 142
Saint-Maixent 696
Saint-Mars-la-Jaille 2371
Souce 187
Marigne 554
Marigne-Laille 1585
Parigne-le-Polin 1028
Yvre-le-Polin 1747
Oize 769
Cerans-Foulletourte 2561
Roullee 235
Saint-Leger 235
Saint-Leger-des-Bois 1474
Saint-Crespin-sur-Moine 1474
Saint-Germain-sur-Moine 2611
Montfaucon-Montigne 1756
Getigne 3326
Tigne 770
Nouans 261
Bonnoeuvre 548
Saint-Longis 489
Saint-Leonard-des-Bois 517
Juvigne 1405
Saint-Pierre-des-Landes 985
Saint-Pierre-la-Cour 1711
Saint-Pierre-le-Vieux 940
Saint-Pierre-de-Cheville 362
Vern-d'Anjou 2071
Petit-Auverne 383
Montjean 833
Mont-Saint-Jean 639
Saint-Jean-sur-Erve 445
