

Munich 1471508
Munsing 4047
Finsing 4068

Nurnberg 499237
Abenberg 5484

Augsburg 259196
Burgau 9576
Horgau 2459

Wurzburg 133731

Regensburg 129151

Moosburg 17363
Moosach 1333
Rohrmoos 6199
Rohrbach 6015
Rohrenfels 1489

Ingolstadt 120658

Furth 112025
Dietfurt 6161

Erlangen 102675
Langenzenn 10629
Obernzenn 2679

Bayreuth 75061
Uttenreuth 4545
Immenreuth 1901
Bubenreuth 4516
Reuth 1277

Bamberg 70047

Aschaffenburg 68551
Waldaschaff 4056
Mainaschaff 8382

Kempten 61399
Rosshaupten 2189
Thierhaupten 3841
Oberhausen 2558
Munsterhausen 2067
Munster 1078
Altomunster 7275
Munchsmunster 2938
Ilmmunster 2204

Landshut 60488

Rosenheim 60167
Mettenheim 3307

Schweinfurt 54012

Ochsenfurt 11492
Sachsen 3349
Prichsenstadt 3216
Fuchsstadt 1819
Mellrichstadt 6254
Heinrichsthal 918

Neu-Ulm 51389

Passau 50560
Massing 4144

Hof 49239

Amberg 44737
Berg 7472

Straubing 44580
Obertraubling 7037
Teublitz 7405
Wernberg-Koblitz 5830

Freising 42570
Schongeising 1806
Schonau 2058
Neuschonau 2432
Schonsee 2720

Weiden 42550
Weiding 2472
Oberschneiding 2745

Kaufbeuren 42505
Bernbeuren 2240

Coburg 41901
Weidhausen bei Coburg 3331
Hausen 3625

Memmingen 41135
Gundremmingen 1502
Gundelfingen 7889
Gerolfingen 1066

Dachau 39740
Windach 3449

Neumarkt in der Oberpfalz 39557
Bruck in der Oberpfalz 4510

Hersbruck 12404
Kummersbruck 10365

Schwabach 38554

Germering 36834
Untermeitingen 6415

Meitingen 11201
Obermeitingen 1600

Peiting 12106
Kleinaitingen 1428
Grossaitingen 4747

Furstenfeldbruck 33533

Erding 33519
Unterdietfurt 2174
Oberding 5101

Ansbach 31839

Deggendorf 31081

Eggenfelden 12860

Forchheim 30442

Friedberg 29189
Ried 2987
Neuried 7469
Scheuring 1794

Mering 12820
Emmering 6081

Neuburg an der Donau 28370

Dillingen an der Donau 18734
Bachingen an der Brenz 1320
Pfaffenhofen an der Roth 7158
Pfaffenhofen 1717
Attenhofen 1352
Egenhofen 3252
Inchenhofen 2390
Hattenhofen 1415

Schwandorf in Bayern 28235
Bayerbach 1733
Haag in Oberbayern 6218

Kulmbach 27565
Kulmain 2452
Weismain 4840
Weisendorf 6118
Weigendorf 1292
Igensdorf 4645
Ensdorf 2275
Ebermannsdorf 2524
Ebermannstadt 6864

Konigsbrunn 27494

Landsberg am Lech 27017
Landsberied 1384

Lauf an der Pegnitz 26403
Neuhof an der Zenn 2091

Neustadt an der Aisch 12448

Hochstadt an der Aisch 13418
Hochstadt am Main 1702

Garmisch-Partenkirchen 26022

Zirndorf 25734
Ammerndorf 2099

Unterschleissheim 25567

Oberschleissheim 11290
Oberschweinbach 1480

Roth 25083

Waldkraiburg 24676
Kraiburg am Inn 4127

Wasserburg am Inn 12374
Aschau am Inn 2907
Simbach am Inn 9979
Simbach 3672

Lindau 24518

Olching 23978

Eching 12804
Albaching 1558
Erlbach 1239

Geretsried 23364

Herzogenaurach 23319
Stegaurach 6804
Petersaurach 5116

Pfaffenhofen an der Ilm 23192

Starnberg 23086

Senden 22275

Weilheim 21401

Mindelheim 14122
Fellheim 1197

Kitzingen 21387

Lichtenfels 21336
Lichtenberg 1184
Fichtelberg 2111
Oberleichtersbach 2077

Bad Kissingen 21328
Eisingen 3539

Sonthofen 21285
Sontheim 2490

Traunreut 21244

Traunstein 18422

Aichach 21042
Aichen 1171

Eichenau 11637

Vaterstetten 21007
Mittelstetten 1630
Scherstetten 1008
Mauerstetten 2922

Unterhaching 20852

Oberhaching 12470

Sulzbach-Rosenberg 20780

Gersthofen 20254

Gunzburg 19737
Gunzach 1522
Zachenberg 2173

Nordlingen 19492
Aindling 4451

Puchheim 19357
Aschheim 6531

Gauting 19216
Eitting 2238

Ottobrunn 19204
Brunnen 1609

Grobenzell 19110

Alzenau in Unterfranken 18932
Hofheim in Unterfranken 5199
Kueps Oberfranken 8282
Plankenfels 900
Henfenfeld 1926
Hohenfels 2156

Dingolfing 18805
Aholfing 1735
Aholming 2234
Haiming 2516
Mamming 2948

Marktoberdorf 18505

Donauworth 18364

Burghausen 18263
Geisenhausen 6367
Isen 5222

Neufahrn bei Freising 18255

Kronach 18248
Goldkronach 3711

Marktredwitz 18204
Marktgraitz 1331

Kolbermoor 17941
Hallbergmoos 8074
Moosinning 5166

Karlsfeld 17920
Karlshuld 5012

Weissenburg in Bayern 17801
Oettingen in Bayern 5336

Taufkirchen 17791
Obertaufkirchen 2424
Niedertaufkirchen 1333
Niederbergkirchen 1227
Burgkirchen an der Alz 10756

Trostberg an der Alz 11676
Haag an der Amper 2909

Bad Aibling 17672

Raubling 11382

Muhldorf 17622

Bruckmuhl 15851

Haar 17560

Bad Tolz 17434
Bad Endorf 7465

Cham 17314
Ascha 1517

Oberasbach 17306

Wolfratshausen 17191
Hebertshausen 5121
Gessertshausen 4424
Ebershausen 618
Kettershausen 1753

Selb 17132
Langensendelbach 2837
Kleinsendelbach 1542

Bad Reichenhall 16910

Gilching 16859

Neustadt bei Coburg 16715

Vilshofen 16695
Vilsheim 2404

Vilsbiburg 11416
Biburg 1297

Bobingen 16682
Bissingen 3605

Kissing 11150

Illertissen 16522
Mertingen 3748
Wertingen 8958

Gunzenhausen 16477

Grossostheim 16346
Grosslangheim 1536
Kleinlangheim 1691
Unterleinleiter 1258

Wendelstein 16220

Stein 13902

Schrobenhausen 16143

Lohr am Main 16127
Worth am Main 4983
Zell am Main 4035
Obernburg am Main 8853
Klingenberg am Main 6294
Neustadt am Main 1327
Stockstadt am Main 7663

Penzberg 16079
Penzing 3707

Bad Neustadt an der Saale 16064
Aura an der Saale 862
Saal an der Saale 1595

Freilassing 15909

Kelheim 15723
Winkelhaid 3971

Hirschaid 11508

Altdorf 15312
Altendorf 2017
Nittendorf 9226
Pettendorf 3268

Garching bei Munchen 15303

Grafing bei Munchen 12497

Grafelfing 12978

Karlstadt 15272
Hallstadt 8485
Hollstadt 1688

Holzkirchen 15199
Steinkirchen 1185
Schweitenkirchen 4876
Bodenkirchen 5442
Attenkirchen 2585
Kirchensittenbach 2238

Regenstauf 14999
Donaustauf 3745

Neustadt an der Donau 12899
Worth an der Donau 4524
Vohburg an der Donau 7101

Stadtbergen 14705

Pocking 14646

