

Frankfurt am Main 650000
Hochheim am Main 17027
Kahl am Main 7198
Nieder-Grundau 1749
Niedernhausen 14494
Sulzbach 8149
Wachtersbach 12464
Brensbach 5438
Munster 14018
Niedenstein 5702
Borken 13531
Herborn 21133
Herbstein 5198
Idstein 22810
Liederbach 8602
Lauterbach 14487
Burghaun 6713
Friedewald 2435
Hunfeld 16323
Kirchheim 3913
Rotenburg an der Fulda 14271

Fulda 63760
Furth 11181
Alsbach-Hahnlein 9300
Ober-Ramstadt 15367
Reichelsheim 9036

Dreieich 40367
Kiedrich 3869
Trebur 12897
Kriftel 10633

Morfelden-Walldorf 32753

Darmstadt 140385
Stockstadt am Rhein 5741

Bensheim 39439
Birkenau 10318
Merkenbach 1600
Weiten-Gesass 961
Rothenberg 2515
Ortenberg 9155
Wolfersheim 9610
Altenstadt 12258
Berstadt 1740
Laubach 10205
Hoingen 1954
Budingen 21579
Florstadt 8905
Nidda 18241
Munzenberg 5619
Reiskirchen 10734
Neukirchen 7620
Bromskirchen 1917
Rauschenberg 4790
Schwalmstadt 19279
Kirtorf 3649
Gilserberg 3470
Bad Wildungen 18037
Felsberg 11219
Kaufungen 12683
Malsfeld 4301
Bebra 14839
Melsungen 14004

Kassel 194501
Asslar 13772
Bad Endbach 8734
Erbach 13771
Unter-Abtsteinach 2414
Steinheim 651
Geisenheim 11949
Reinheim 17841
Schaafheim 8784
Bischofsheim 12075
Hornsheim 3000
Florsheim 20023
Bad Soden am Taunus 21357
Schwalbach am Taunus 14192

Hofheim am Taunus 37750
Kronberg 17730
Grunberg 14233
Schwalmtal 3159
Bad Schwalbach 11112
Oberems 700
Usingen 13511
Kronberg Tal 17550
Kelsterbach 13836
Eppstein 13374
Birstein 6581
Neckarsteinach 3923

Lampertheim 31635
Eppertshausen 5838
Seigertshausen 669
Rimbach 8537
Seeheim-Jugenheim 16395
Riedstadt 21362
Ranstadt 5042
Seligenstadt 19569

Offenbach 119192
Steinbach am Taunus 10170
Glashutten 5382
Eschborn 20383
Buttelborn 13338
Ginsheim-Gustavsburg 16043
Weiterstadt 24253
Raunheim 13622
Erzhausen 7297
Udenhausen 1150
Sachsenhausen 1903
Babenhausen 16575

Muhlheim am Main 26485
Nidderau 20090
Oberaula 3481
Romrod 3073
Christerode 280
Grossalmerode 7393
Alheim 5292
Wabern 7708
Naumburg 5563
Glauburg 3147
Dieburg 15168
Dillenburg 24461

Wetzlar 52656
Mittenaar 5020
Selters 8235
Nentershausen 3166
Obertshausen 24459
Niederdorfelden 2925
Heusenstamm 19012

Bad Vilbel 30736
Weilburg 13798
Gravenwiesbach 5245
Lohnberg 4502
Dehrn 2307
Waldems 5782
Calden 7752
Volkmarsen 6959
Hadamar 12131
Greifenstein 7507
Freiensteinau 3416
Grebenstein 6238
Grebenhain 5207
Bad Soden-Salmunster 13953
Langenselbold 12660
Langgons 12283
Hungen 4588

Langen 35416
Spangenberg 6570
Schlangenbad 6265
Rudesheim am Rhein 9921

Russelsheim 59730
Messel 3916
Hesseneck 692
Hochst im Odenwald 10010
Rossdorf 12199
Egelsbach 9645
Gross-Gerau 23641
Gross-Umstadt 21758
Gross-Rohrheim 3822
Gross-Zimmern 13870

Dietzenbach 33256
Lutzelbach 7321
Geiselbach 2135
Kefenrod 3101

Rodgau 43315
Rodenbach 11344
Breidenbach 6866
Fronhausen 4116
Amoneburg 5390
Lohra 5775
Allendorf an der Lahn 4170

Limburg an der Lahn 33820

Marburg an der Lahn 78895
Biedenkopf 13788
Flieden 8843
Gedern 7879
Gernsheim 9377

Viernheim 32620
Bickenbach 5338
Lindenfels 5456
Michelstadt 17279
Morlenbach 10568
Korle 2991
Biebesheim 6626
Hofbieber 6372
Liebenau 3606

Baunatal 28173
Lautertal 2638
Albertshausen 246
Korbach 24481
Allendorf 5719
Kirchhain 16381
Staufenberg 8346
Merenberg 3493
Battenberg 5703
Vohl 6296
Schlitz 10258
Schluchtern 17260
Hessisch Lichtenau 13291
Fuldatal 12186
Guxhagen 5433
Espenau 4876
Grebenau 2728
Riebelsdorf 752
Friedrichsdorf 24435

Bad Nauheim 30291
Bad Orb 10186
Hammersbach 4772
Karben 21642
Bad Karlshafen 4097
Bad Arolsen 16854
Reinhardshausen 1201
Ronshausen 2409
Einhausen 5933

Pfungstadt 25084
Burstadt 15348
Zwingenberg 7082
Heringen 7993
Niederaula 5526
Breitenbach 1955
Breitscheid 5000
Solms 13250
Heuchelheim 7541
Ehringshausen 9505
Willingshausen 5385
Jesberg 2655

Wiesbaden 272432
Hattersheim 25035
Konigstein im Taunus 15661

Bad Homburg vor der Hohe 51859
Homberg 14903
Bad Camberg 14195
Burg Hohenstein 625
Elz 7972
Braunfels 11510
Hosenfeld 4831
Dipperz 3405
Eiterfeld 7613
Beerfelden 6942
Frankisch-Crumbach 3353
Frankenberg 19276
Waldeck 7785
Gudensberg 9032
Vellmar 18623
Kunzell 16124
Echzell 5951

Butzbach 25156
Schoffengrund 6316

Giessen 74411
Rockenberg 4075
Rosbach vor der Hohe 11741
Neu-Anspach 15276
Neuhof 11422
Neuental 3420
Gemunden an der Wohra 4100
Steinau an der Strasse 11302
Eichenzell 11042
Hilders 4973
Grossenluder 8768
Grossensee 397
Erlensee 12663
Herleshausen 3189
Schenklengsfeld 4806
Gersfeld 6351
Bad Salzschlirf 3204
Ottrau 2496
Sontra 8624

Bad Hersfeld 30725
Alsfeld 17771
Ulrichstein 3258
Hirzenhain 3026
Witzenhausen 16055
Wanfried 4398

Friedberg 27484
Wehrheim 9383
Ober-Morlen 5967
Wohnbach 1050
Weinbach 4763
Waldbrunn 6124
Leun 6116
Bischoffen 3478
Lollar 10143
Bullau 408
Hofgeismar 16444
Lohfelden 13825
Immenhausen 7348
Wolfhagen 13266
Martinhagen 1500
Cornberg 1621
Eschwege 21191
Hauptschwenda 160
Runkel 9872
Frankenau 3572
Munchhausen 3594
Gladenbach 12482
Trohe 771
Rabenau 5239
Stadtallendorf 21720
Frielendorf 8239
Driedorf 5213
Irmtraut 797
Sinn 6634
Nausis 280
Schrecksbach 3343
Ruckershausen 183

Hanau am Main 88648
Grosskrotzenburg 7196

Maintal 38313

Neu Isenburg 35293

Oberursel 42448
Schmitten 9042
Schotten 11566
Lich 13534
Sodel 2380

Taunusstein 29501
Eltville 16845
Villmar 7334
Weilmunster 9402

Heppenheim an der Bergstrasse 25442
Biblis 8953

Griesheim 25287
Gelnhausen 21881
Bruchkobel 20892
Haiger 20218
Haina 3662
Wetter 9457
Hatzfeld 3409
Colbe 7083
Niederklein 1650
Rosenthal 2209
Fritzlar 14814
Hain-Grundau 14723
Lorsch 12744
Hirschhorn 3691
Wald-Michelbach 11720
Melbach 1250
Willingen 6564
Bad Konig 9687
Gross-Bieberau 4593
Bad Sooden-Allendorf 8915
Helsa 5882
Zierenberg 6782
Breuna 3866
Trendelburg 5749
Walluf 5698
Waldkappel 5022
Rasdorf 1833
Poppenhausen 2685
Tann 4695
Alten Buseck 4075
Steeden 1526
Schwarzenborn 1251
Wincherode 60
Hemfurth-Edersee 870
Marzhausen 159
