

Faridabad 1414050

Gurugram 886519
Dharuhera 30344
Nuh 16260
Taoru 22599
Pataudi 20418
Hailey Mandi 20906
Mandi Dabwali 52873
Kalanwali 22095
Barwala 43384
Narwana 62090
Tohana 63871
Uchana 16815
Jind 167592
Narnaund 17242
Narnaul 74581
Ateli 7619
Fatehabad 70777
Ratia 37152
Rania 25123
Ellenabad 36623
Sirsa 182534
Hansi 86770
Bawani Khera 20289
Bhiwani 196057
Siwani 19143

Hisar 307024
Thanesar 155152
Nilokheri 17938
Taraori 25944
Gharaunda 37816

Panipat 295970
Sonipat 289333
Ganaur 35603
Samalkha 39710
Kharkhoda 25051
Hodal 50143
Palwal 131926
Bawal 16776
Rewari 143021
Pinjore 35912
Kalka 34134
Kalanaur 23319
Julana 18755
Maham 20484
Punahana 24734
Hathin 14421
Kaithal 144915
Kalayat 18660
Ambala 195153
Ambala Sadar 104974
Ambala Cantonment 55370
Shahbad 42607
Bahadurgarh 170767
Naraingarh 22832
Mahendragarh 29128
Kanina 12989
Charkhi Dadri 56337
Indri 17487
Pundri 33484
Nissing 17438

Karnal 302140
Ladwa 28887
Yamunanagar 217071
Jagadhri 124894
Farrukhnagar 13513
Sohna 36552
Gohana 65708

Rohtak 374292
Beri 15934
Jhajjar 48424
Loharu 13937
Panchkula 211355
Cheeka 38952
Pehowa 38853
Safidon 34728
Assandh 27125
Hassan Pur 11569
Ferozepur Jhirka 24750
Sampla 20563
