

Faridabad 1414050
Beri 15934
Hailey Mandi 20906
Mahendragarh 29128
Bawani Khera 20289
Narwana 62090
Julana 18755
Barwala 43384
Siwani 19143
Tohana 63871
Narnaund 17242
Gohana 65708
Maham 20484
Uchana 16815
Cheeka 38952
Assandh 27125
Samalkha 39710
Nilokheri 17938

Panipat 295970
Ganaur 35603

Gurugram 886519
Sampla 20563
Kalanaur 23319
Kanina 12989
Narnaul 74581
Sohna 36552
Taoru 22599
Ferozepur Jhirka 24750
Dharuhera 30344
Farrukhnagar 13513
Charkhi Dadri 56337
Bahadurgarh 170767

Rohtak 374292
Kharkhoda 25051
Jhajjar 48424

Hisar 307024
Loharu 13937
Hansi 86770

Karnal 302140
Kalayat 18660
Ratia 37152
Rania 25123
Bhiwani 196057
Sonipat 289333
Safidon 34728
Yamunanagar 217071
Gharaunda 37816
Jind 167592
Nissing 17438
Indri 17487
Naraingarh 22832
Kaithal 144915
Thanesar 155152
Ambala Sadar 104974
Ladwa 28887
Pehowa 38853
Taraori 25944
Jagadhri 124894
Pundri 33484
Panchkula 211355
Ambala Cantonment 55370
Ambala 195153
Kalka 34134
Sirsa 182534
Kalanwali 22095
Mandi Dabwali 52873
Rewari 143021
Bawal 16776
Palwal 131926
Pataudi 20418
Hathin 14421
Ateli 7619
Fatehabad 70777
Ellenabad 36623
Hodal 50143
Shahbad 42607
Pinjore 35912
Punahana 24734
Hassan Pur 11569
Nuh 16260
