

Tehran 7153309

Mashhad 2307177

Isfahan 1547164
Behbahan 79327

Karaj 1448075

Arak 503647

Tabriz 1424641

Shiraz 1249942
Ramshir 19454
Khorramshahr 330606
Khorramabad 329825
Ramhormoz 38821

Qom 900000
Khomeyn 77425
Khomeyni Shahr 277334

Ahvaz 841145
Khvansar 21146
Pishva 53856

Kermanshah 621100
Piranshahr 61973

Rasht 594590
Hashtpar 45305
Hashtrud 16888

Kerman 577514

Orumiyeh 577307

Zahedan 551980
Shahrak-e Pabedana 6503

Hamadan 528256

Azadshahr 514102
Nazarabad 213388

Yazd 477905
Yasuj 96786

Ardabil 410753
Bileh Savar 14000

Kashan 396897

Abadan 370180
Dogonbadan 94638

Zanjan 357471

Bandar Abbas 352173
Tabas 49993
Nosratabad 4182

Sanandaj 349176
Abdanan 19360

Qazvin 333635
Varamin 179603
Dezful 264709
Sari 255396
Rudsar 47502
Nashtarud 5837
Borujerd 251958
Susangerd 41443
Qarchak 251834
Chalus 69638
Khalkhal 51024
Gorgan 244937
Sabzevar 226183
Ravar 40167
Falavarjan 49843
Najafabad 223450
Neyshabur 220929
Bukan 213331
Kangavar 53414
Sirjan 207645
Birjand 196982
Babol 202796
Babolsar 48051
Amol 199382
Bojnurd 192041
Fardis 181174
Mahdishahr 21000
Shahre Jadide Andisheh 80000
Malayer 176573
Malard 56745
Saveh 175533
Qorveh 87953
Paveh 17779
Khowy 175370
Bushehr 165377
Shush 52284
Shushtar 77507
Aleshtar 27701
Mahabad 162434
Saqqez 151237
Naqadeh 73528
Marvdasht 148858
Dehdasht 69726
Rafsanjan 147680
Ilam 140940
Andimeshk 135116
Miandoab 132819
Miab 611
Shahrud 131889
Shahriar 58849
Behshahr 93500
Gonbad-e Kavus 131416
Gonabad 43465
Qarnabad 1961
Iranshahr 131232
Shahr-e Kord 129153
Shahrak-e Kuluri 1941
Torbat-e Heydariyeh 125633
Torbat-e Jam 58928
Bam 99268
Semnan 124826
Marand 124191
Zabol 121989
Firuzabad 66558
Abadeh 59116
Quchan 111752
Masjed Soleyman 111510
Famast 1081
Bandar-e Anzali 110826
Baneh 104799
Parsabad 101661
Kuhdasht 100208
Akbarabad 98342
Darab 63319
Fasa 98061
Farsan 25071
Kashmar 96151
Kazerun 94511
Fereydunshahr 11562
Ahar 94348
Bahar 28645
Marivan 91664
Aligudarz 91041
Kelishad va Sudarjan 33630
Delijan 33508
Qahderijan 29392
Alvand 90000
Damavand 29144
Borazjan 86059
Borujen 52654
Shirvan 82790
Salmas 81606
Bonab 80359
Nahavand 76250
Nurabad 73528
Takestan 71499
Takab 51541
Minab 70790
Abhar 69889
Khash 69603
Langarud 68148
Damghan 67694
Robat Karim 62753
Kamyaran 61642
Esfarayen 59678
Asadabad 59617
Zarand 58983
Ardakan 58834
Harsin 57647
Abyek 55128
Neka 48847
Tonekabon 37501
Bijar 53871
Bandar-e Genaveh 52750
Shahr-e Babak 52409
Meybod 51874
Sarpol-e Zahab 51611
Oshnaviyeh 50661
Khorramdarreh 50528
Istgah-e Rah Ahan-e Garmsar 49491
Rehnan 49143
Azna 47482
Chabahar 47287
Omidiyeh 46983
Jongiyeh 4183
Chenaran 46940
Fereydun Kenar 34097
Sarakhs 46499
Dehloran 46002
Mehran 11831
Neyriz 45506
Golpayegan 44916
Sonqor 43174
Astaneh-ye Ashrafiyeh 42784
Astara 39065
Shahin Dezh 41442
Qa'en 40157
Nowshahr 40000
Javanrud 38657
Qasr-e Qand 37722
Bandar-e Lengeh 22768
Taybad 37513
Juybar 28404
Dorcheh Piaz 37462
Shadegan 37220
Bardsir 37192
Eqbaliyeh 36709
Mohr 35000
Kalaleh 33700
Dowlatabad 33607
Farrokh Shahr 32391
Qarah Zia' od Din 31947
Bafq 31215
Taft 19394
Pasargad 29825
'Ajab Shir 29675
Bardaskan 28233
Fuman 27763
Semirom 27220
Gerash 25316
Qeshm 25000
Darreh Shahr 24961
Aghajari 21785
Kish 20922
Abrisham 20000
Padegan-e Manjil 17396
Nikshahr 17000
Ardestan 16058
Tafresh 14399
'Abas Abad 13482
Fannuj 13000
Sharifabad 8870
Khark 8196
Kujuvar 6001
Shahrak-e Emam Hasan 5394
Aq Qayeh 5114
Taleb abad 4850
Kuh Sefid 2850
Qohurd-e 'Olya 2115
Anuch 1833
Vasian 1817
Omidcheh 1710
Soleh Bon 1500
Sedeyen-e Yek 1082
Gamasb 1081
Kandovan 601
Masuleh 554
