

Chelyabinsk 1130132
Dubrovka-Chelyabinskaya 810
Navarinka 810
Yarinka 525

Larino 1767

Filimonovo 1449
Sarafanovo 948
Bulanovo 83
Bulantsy 227
Kambulat 251
Bulatova 50
Bulatovo 553
Kosobrodka 348

Bobrovka 3411
Morozkino 503
Vpered 503
Peredovik 45
Porokhovoe 45
Zhokhovo 65
Andreevka 65
Novoandreevka 832
Novotagilka 680
Novotominskiy 134
Tominskiy 1217
Fominskiy 424
Frolovka 424
Belovka 596

Chesma 6517
Pereselencheskiy 307
Verkhneustselemovo 184
Verkhniy Atlyan 244
Yuldasheva 166
Baydashevo 21

Kanashevo 3246

Miasskoe 9755
Miasskiy 39
Bukharino 96
Kharino 264
Kulukaeva 62
Akchakul' 62
Karakul'myak 46
Karakul' 113
Kirzhakul' 375
Bashakul' 247
Berezniki 247
Bereznyaki 162
Rassvet 159
Polosinskiy 173
Kidyshevskiy 359
Kidysh 1014
Vandyshevka 776
Kamyshevka 901
Kamyshnyy 204
Pechenkino 688
Vydrino 408
Burino 360

Novoburino 1832

Khalitovo 1660
Khalitova 214
Bizhelyak 214
Poles'e 214
Polevoy 1367

Poletaevo 6500
Chipyshevo 454
Malyshevo 23
Drobyshevo 524
Pashnino 1-e 313
Pashnino 420
Solodyanka 420
Selyankino 130
Selyaeva 375
Barsuch'e 375
Barsuki 224
Zhuravlinoe 224
Kalinovskiy 542
Solntse 329
Solnechnyy 1104
Zarechnyy 145
Zarech'e 189
Proletarka 174
Utarka 138
Kuramshina 138
Kamyshinka 69
Kamyshnoe 261
Poldnevo 176
Blizhniy Beregovoy 275

Beregovoy 1815
Tatarskaya Karabolka 423
Ust'-Karabolka 86
Ust'-Bagaryak 1318
Bagaryak 1423
Shaburovo 726
Bulzi 760

Tyubuk 2863
Polyannyy 186
Mediak 259
Bol'shoy Mediak 14
Kulat 14
P'yankova 14
Kolpakova 29
Malaya Ul'trakova 225
Malaya Kuysarina 23
Arakaeva 23
Turakaeva 12
Rytvino 12
Mordvinovka 549
Osinovka 36
Gribanovka 132
Malaya Sosnovka 198
Sosnovka 437
Ozero-Sosnovka 48
Kamankul' 48
Duvankul' 501

Koelga 3993
Pogorelka 501

Krasnogorskiy 13624

Krasnosel'skoe 1587

Uvel'skiy 10500

Yuzhnoural'sk 37877

Zaural'skiy 7884
Zauralovo 221
Simbirka 221
Bol'shaya Irkabaevo 262
Bol'shaya Usmanova 285
Bol'shaya Isyangil'dina 202
Khudyakovo 202
Surakovo 313
Lyskovo 302
Kumysnoe 302
Kumysnyy 145
Krasnyy 6
Krasnyy Oktyabr' 783
Kataevo 137
Peschanyy 137
Peschanka 129
Burkhankul' 214
Shurankul' 73
Arakul' 73
Karakul'ka 342
Utyabaeva 56
Urazbaeva 258
Kazbaevo 358
Tuktubaevo 763
Krasnyy Kamen' 50
Nizhnyaya 50
Nizhnyaya Sanarka 994
Verkhnyaya Kabanka 704
Verkhnyaya Sanarka 830
Aminevo 830
Amineva 473
Itkul' 122

Etkul' 6760
Shelomentsevo 301
Kazantsevo 666
Kopantsevo 172
Ust'yantsevo 293
Alekseevskiy 293
Alekseevka 1128
Kazanovka 528

Borodinovka 1555
Smorodinka 1319
Mamaeva 475
Novonikolaevka 563
Nikolaevka 859
Usol'tsevo 328
Gorodishche 328
Adishchevo 8
Tatishchevo 156
Bol'shaya Yaumbaeva 156
Malaya Yaumbaeva 44
Kovyl'nyy 44
Privol'nyy 38
Sarykul' 178
Sarykul'myak 155
Sunukul' 4
Znoynoe 4
Kureynoe 197
Zapadnyy 197
Zapasnoe 282

Krasnoe Pole 1445
Novoe Pole 811
Bol'shoe Balandino 811
Bol'shaya Ul'trakova 57
Mogil'noe 57
Smol'noe 406
Vaganovo 406
Etimganova 194
Makhmutova 194
Mavlyutova 599
Maskayka 599
Anbashskaya 56
Novoil'inskaya 9
Yaroslavka 9
Slava 352
Shimakovka 165
Shcherbakovka 269
Takhtalym 269

Kartaly 29131

Lokomotivnyy 8498
Kolokolenki 22
Sokolovo 198
Sokolovskoe 440
Nizhnepetropavlovskoe 307

Petropavlovskiy 1553
Petropavlovka 879
Pashnino 2-e 88
Voronino 421
Kolotovka 174
Bolotovo 337
Zolotoy Plyazh 60
Novyy Kumlyak 180
Novyy Kremenkul' 158

Kremenkul' 2984
Sadovyy 821
Plodovyy 506
Novyy Put' 158
Chekurova 180
Mansurova 191
Khersonskiy 179
Estonskiy 313
Leninskiy 274
Podol'skiy 274
Komsomol'skiy 1212

Bredy 9468
Mirnoe 555
Smirnovskiy 98
Surtanysh 49
Sosnovo 49
Safonovo 167
Safronovskiy 203
Kopalovskiy 82
Novokopalovskiy 133
Kochkar' 614
Kochnevo 325

Vishnevogorsk 4569

Novogornyy 6733
Gornyy 221
Nagornyy 1177
Podgornyy 209
Podgornoe 212
Bersenevka 180
Linevka 139
Vishnevka 192
Zapivalovo 192
Anfalovo 9
Maslovo 584
Alisheva 292
Saksan 125
Iksanova 131
Novoburanovka 833
Novoburannoe 381
Vozdvizhenka 381
Novinka 177
Repino 177
Bugristoe 183
Kabanka 183
Sabanovskiy 94
Shibanovo 30
Karabanovo 315

Karabash 13152
Akbasheva 1273
Derbisheva 1344
Staraya Soboleva 367
Buskul'skiy 367

Esaul'skiy 2619

Roshchino 5710
Berezovaya Roshcha 206
Malaya Usmanova 46
Naily 46
Zelenaya Dolina 188
Zelenyy Log 206
Krutoy Log 297
Krutoyarskiy 925
Novotemirskiy 185
Temir 332

Kundravy 2629
Travyanka 238
Konoplyanka 222
Chernorechenskiy 222
Chernorech'e 559
Malkovo 559
Snezhkovo 282
Snezhnyy 1132
Naberezhnyy 91
Yuzhnyy Gornyak 84

Yuzhnyy 1995
Druzhnyy 969
Karagaykul' 422
