

Kurgan 333606

Krasnyy Uralets 659
Otradnoe 199
Krasnoisetskoe 487
Zaural'skoe 451
Bol'shoe Okunevo 70
Alakul' 314

Shmakovo 1319
Raskovalova 234
Karasi 611

Chashi 1950

Menshchikovo 1268
P'yankovo 244
Temlyakovo 373
Bayarak 272
Shabarchina 152
Volodina 164

Kolesnikovo 734
Bol'shoe Prosekovo 440

Lesnikovo 5056
Sosnovka 573

Krasnoznamenskoe 932

Sovetskoe 1096
Pervomayskoe 334

Zhitnikovskoe 742

Belozerskoe 4141

Dolgovskoe 1085
Baklanskoe 320
Maloe Mostovskoe 373
Shkodinskoe 252
Utyatskoe 446
Yautla 303
Dolgaya 13
Kochegarova 39
Chernobor'e 193
Iz'edugino 202
Patranino 167
Maletino 238
Egorino 6
Koshkino 79
Okhotino 29
Titova 98
Okonechnikova 88
Vishnevka 82
Zolotovka 88
Kozyrevka 13
Rechkalovo 17
Maloe Zarosloe 98
Uglovoe 96
Pestovo 69
Sevost'yanovka 12
Yakovlevka 141
Frolovka 160
Bol'shoe Zarosloe 144
Zamaraevskoe 139
Ozero-Kazanskoe 8
Shadrinskiy 80
Chaeshnoe 43
Krestovskoe 6
Salomatova 174
Komsomol'skaya 221
Severnaya 219
Zaborskaya 9
Priozernaya 104
Proshkino 198
Vagino 61
Mokrushino 36
Tropino 85
Paderino 75
Red'kino 359
Pritchino 22
Prudy 96
Tavolzhanka 69
Tarasova 160
Voronova 292
Rytikova 34
Novodostovalovo 203
Gryzanovo 12
Iryum 137
Zhilina 88
Noril'noe 189

Bol'shaya Riga 713
Kocharino 37
Tryukhino 108
Druzhinina 103
Nakhimovka 20
Karakul' 15
Yarovoe 327
Varlakovo 264
Bukharovo 165
Buzan 15
Antoshkino 65
Kostousovo 45
Myasnikovo 194

Konovalovo 711
Okatova 6
Pushnyakova 43
Korshunova 38
Lugovaya 97
Gubanova 15
Novaya Nikol'skaya 97
Tyurikova 105
Ostrova 178
Pestereva 20
Pegan 81
Banshchikovo 104
Barsukova 32
Murashova 39
Ol'khovskoe Ozero 8
Voznesenskoe 201
Lesnoe 123
Trebushinnoe 361
Ozernoe 476
Malodubrovnoe 147
Malyy Atyazh 46
Zhikina 108
Krutikhinskoe 95
Spasskoe 24
Ust'-Suerskoe 130
Yaroslavskoe 391
Staroberezovo 52
Obanino 490
Shutkino 22
Aznalino 222
Petrushino 187
Brylino 568
Dubrova 4
Novaya Kalinovka 170
Cherepanova 219
Skatova 5
Chesnokova 125
Verkhneklyuchevskoe 568
Chernushka 20
Udarnik 103
Chistoprudnyy 25
Prirechnaya 39
Shirokovskoe 538

Peschanskoe 896
Tamakul'skoe 354
Mayak 25
Kukarskaya 81
Rybnaya 104
Ubalina 111
Teplodubrovnoe 67

Kamyshnoe 668
Pervomayskiy 35
Trekhozerki 160
Novaya Derevnya 123
Poduval'naya 106
Blizhnyaya Kubasova 98
Pervomayskaya 34
Chernoe Makarovo 82
Chemyakina 64
Shusharina 21
Nazarova 8
Denisova 230
Katkova 47
Novaya Beloyarka 12
Urozhaynaya 21
Dal'nyaya Kubasova 203
Kardapolova 133
Manuylovo 82
Vorotnikovo 88
Chudnyakovo 79
Staroshchetnikovo 64
Ushakovo 13
Kachusovo 93
Novonikol'skaya 7
Novaya Lebyazhka 31
Tumanova 127
Chusovaya 115
Zelenaya Roshcha 69
Borchaninovo 255
Romanovskoe 134
Krasnoyarskoe 225
Balinskoe 49
Sosnovskoe 225
Nikitinskoe 146
Neverovskoe 218
Ostrovnoe 126
Osinovka 98
Kremenevka 88
Preobrazhenka 102
Baranovka 88
Malye Karasi 8
Yurakhly 80
Rusakovo 49
Bol'shoe Bannikovo 238
Shlyapnikova 102
Malyy Zapoloy 80
Talovka 321
Zhuravlevka 225
Kuz'minovka 49
Kireevka 21
Pesterevo 43
Tyulenevo 147
Achikul' 65
Likhanovo 74
Khokhly 114
Klyuchevskoe 502
Troitskoe 251

Zatechenskoe 686
Kazak-Kocherdyk 646
Makarovo 339
Sladkokarasinskoe 84

Vvedenskoe 4537
Chernavskoe 549
Verkhnesuerskoe 632
Pustuevo 60

Bol'shoe Chausovo 2026

Gorokhovo 1051

Kirovo 1750

Novopetropavlovskoe 1158
Nizhnepolevskoe 345

Peschano-Koledino 933
Travyanoe 309
Yalanskoe 599
Petropavlovskoe 554
Kondinskoe 489
Petukhovskoe 73
Karandashovo 342
Bol'shoe Dubrovnoe 333
Maloe Seredkino 122
Pon'kino 333
Porogi 191
Nagorskoe 621
Cheremisskoe 345

Uksyanskoe 1956
Zelenoborskoe 257
Myrkayskoe 236

Tagil'skoe 962
Bol'shoe Mokhovoe 164
Maksimovo 66
Popovo 346
Rychkovo 366
Gladkovskoe 334
Skopino 349
Vyatkino 539
Patronnaya 84
Saltosarayskaya 166
Tokareva 212

Pogorelka 2467
Eremino 84

Shumikha 17819

Voskhod 806
Ozhogino 323
Borozdinka 326

Krasnaya Zvezda 930
Baydary 487

Kayasan 1086

Kataysk 14003
Kazantsevskoe 96
Yazovka 146
Vyatka 13
Ozernaya 139
Malaya Gorbunova 8
Maloe Beloe 356
Orlovka 144
Ploskaya 89
Malobelovodskiy 69
Okulova 87
Ermakova 53
Prygova 57
Porotova 104
Kurganova 28
Yurkovo 159
Belyakovka 187
Mel'nikova 15
Zherebenkova 97
Kokorevo 103
Novokalmakovo 75
Belovo 196
Zelenyy 113
Portnyagino 86
Rechkino 147
Gomzino 58
Roshchino 35
Borodino 8
Gusinoe 230
Chuloshnoe 378
Ulugushskoe 80
Bol'shoe Krivinskoe 21
Maloe Shmakovo 39
Mochalovo 194
Chereshkovo 45
Ganicheva 103
Nizhniy Yar 205
Zhilino 161
Kulikovo 275
Saratkul' 120
Kuzinka 70
Okunevskoe 314
Tersyukskoe 621
Salamatovskoe 93
Kodskoe 601
Skorobogatova 72

Shatrovo 5688
Frolikha 11
Leshakova 3
Baskovskoe 280
Ivanishchevskoe 225
Bayganino 192
Dundino 296
Skilyagino 8
Chineevskiy Uchastok 127

Ushakovskoe 661
Vishnyakovo 203
Shuravino 29
Bydino 1
Pepelino 506

Mishkino 8034
Osinovskoe 473
Chernavskiy 191
Pavlunina 10
Lesnaya Polyana 58
Dvukhozernaya 22
Vishnevaya 96
Beregovaya 12
Govorukhino 11
Novoshchetnikovo 79
Isakovo 11
Kozlovo 167
Ryasovo 6
Rybnoe 242
Ikovskoe 51
Bashkirskoe 608
Taktashi 49
Bayrak 106
Belyakovskoe 283
Belozerki 118
Yazevo 102
Yarki 123
Iletskiy 6
Borki 82
Verkhnyaya Alabuga 255
Mogil'naya 11
Bol'shaya Gorbunova 19

Ol'khovka 1473
Racheevka 283
Maksimovka 93
Ershovka 157
Teploukhova 63
Perunova 78
Novaya Zatobol'naya 149
Postovalova 180

Novaya Sidorovka 1893
Sivkovo 349
Maksimova 66

Mostovskoe 1544
Maslyanskoe 607
Kisloe 92

Sumki 1085
Zalesovskiy 320
Krestovka 166

Ketovo 7251
Bugrovoe 182
Setovo 312

Sadovoe 1938
Perevalovo 263
Tyumentseva 164
Ust'-Utyak 456
Stennikovo 78
Kryukovo 389
Kornilovo 78
Mikhaylovka 374

Polovinnoe 4645

Pes'yanoe 723
Otstavnoe 66
Pamyatnoe 619
Sanatornaya 334
Novaya Roshcha 78
Lenskaya 267

Krasnaya Niva 1426
Zaozernaya 157
Steklozavod 390
Vekhti 240
Khlupovo 572
Galishovo 475
Markovo 571
Verkhneberezovo 329
Chineevo 365
Kalmyk-Abdrashevo 254
Maylyk 266
Kupay 377
Bol'shoy Berkut 56
Shutikhinskoe 631
Beloyarskoe 500
Pogadayskoe 309
Dan'kovo 207
Davydovka 554
Razdol'naya 132
Bol'shoe Gusinoe 340
Maloe Pes'yanovo 178
Novoikovskoe 392
Romanovo 108
Malyy Kamagan 85
Krasnyy Uval 75
Myasnikova 196
Ivankovskoe 129
Utchanskoe 61
Novoe Il'inskoe 318
Bol'shoe Pes'yanoe 48
Maloe Krivinskoe 33
Malopes'yanaya 18

Mal'tsevo 700
Konevo-Kazantseva 23
Chapaeva 144
Chebach'e 47
Shchuchanka 126
Shutka 7
Novokaminka 89
Babinova 7
Borisova 269
Volosnikova 79
Niva 49
Zenikay 137
Karpunino 167
Tunguy 144
Antipino 89
Prilogino 321
Nikitino 53
Kalinovka 2
Kolupaevka 124
Glubokaya 42
Vokhmenka 328
Chesnokovka 1-ya 95
Chernavchik 111
Chuga 35
Buguy 144
Gaganovo 98
Konovalova 356
Podkorytova 7
Kondakova 63
Neonilinskoe 305
Peschanotavolzhanskoe 244
Volch'e 122
Bol'shoe Sultanovo 333
Pristantsionnyy 191
Buntina 102
Kokorina 96
Krivskoe 570
Novotroitskoe 309
Dryannovo 207

Sart-Abdrashevo 945
Pavelevo 360
Lesnaya 86
Volosnikovo 81
Bol'shoy Zapoloy 25
Murashovo 38
Pod'yasovo 174
Pokrovka 96
Moiseevka 45
Sheveleva 86
Nikolaevka 258
Bochagovka 86
Okunevka 70
Nechunaeva 169
Grachevo 237
Bugaevo 122

Yurgamysh 7616
Yuldus 585
Kaban'e 77

Ikovka 4672
Bol'shaya Nikolaevka 99
Kamyshevka 542
Obryadovka 188
Obukhovo 370
Skoblino 416
Sazhino 337

Baturino 1130
Shemelino 190
Chalkino 114
Zhavoronki 201
Mamonova 43
Plotnikova 161
Semenova 25
Komanovka 28
Naumovka 58
Mezheumnoe 96
Krasnoznamenka 25
Khramova 151
Kamyshino 58

Kosulino 685
Shutino 336
Chuvarina 58
Vostochnaya 58
Kostylevo 354

Verkhnyaya Polevaya 740
Beloyarka 1-ya 309
Sovetskaya 207
Krasnaya Gorka 91
Barashkovo 451
Karachel'skoe 634
Bol'shoe Kureynoe 546

Kurtamysh 17099
Uchkulevo 256
Karasevo 462
Maloe Okunevo 172
Kazakkulovo 153
Belonogovo 443
Yulamanovo 546
Smirnovo 199
Pimenovka 618

Pichugino 758
Terpugovo 320
Berezovo 302
Chesnokovo 148
Cherdyntsevo 171
Dvortsy 184
Pridorozhnyy 516
Sosnovyy 278
Araslanova 136

Raskatikha 696
Iskra 632
Paratkul' 185
Sulyuklino 600
Yurovka 190
Koryukovo 340

Lyubimovo 885
Zaykovo 306
Ivankovo 260
Anchugovo 199

Tanrykulovo 749
Adzhitarovo 258
Zhukovo 337
Stanovoe 323
Novokomogorovka 138
Sosnovo 245
Sukhanova 158
Zharnikova 91

Nizhnee 1018

Plotnikovo 731
Kotlik 136
Rodniki 78
Balki 445
Ekimovo 184

Mekhonskoe 1595

Shadrinsk 77756
Starikovo 646
Bol'shoe Rakovo 447
Myl'nikovo 631

Dalmatovo 13911
Tolstovereteno 43
Profintern 38

Kurort Ozero Medvezh'e 780
Ural 198
Zalozhnoe 121
Bol'shoe Kamennoe 162
Klyukvennaya 121
Yudino 65
Kozino 351
Novozaborka 59
Stolbovo 327
Suslovo 62
Uzkovo 61
Shastovo 261
Gorshkovo 85
Gorelyy Mikhal' 15
Shakhmatova 205
Bol'shoe Molotovo 105
Bayazitovo 132
Maloe Bannikovo 20
Svetloe 38
Petrovka 97
Putilovka 46
Permyakovka 100
Tebenyak 83
Severnyy 41
Lesnye Gorki 54
Kiley-Kazakkulovo 115
Shakhmatovo 197
Bryukhovo 32
Oktyabr' 198
Zarya 52
Arsenovka 359
Pichevka 36
Sokolovka 32
Asyamolova 121
Trusilovo 358

Il'inskoe 1757
Makar'evskoe 76
Bol'shoe Kasargul'skoe 186
Ural'tsevskoe 400
Trubetskoy 32
Stroevo 315
Severnoe 25
Spornoe 336
Nizhnetobol'noe 393
Kamennoe 473
Chimeevo 446

Koltashevo 1184
Staropershino 397
Kazarkino 477
Mitino 607

Novyy Mir 1325
Demino 312
Fadyushino 326

Klyuchi 681
Bol'shoe Dyuryagino 396
Agapino 462
Seredkino 56

Tselinnoe 5076
Ukrainets 331

Al'menevo 4310
Shalamovo 236
Maloe Sultanovo 56
Mansurovo 527
Zamanilki 518
Paramonovo 331

Baraba 696

Vargashi 9254
Vasil'evka 302
Dolgovka 607
Novogeorgievka 1-ya 66
Lebyazh'e 1-e 496
Maslyanaya 149
Yalym 542
Rovnaya 465

Borovlyanka 867
Vozdvizhenka 223
Vilkino 442
Il'tyakovo 234
Zakoulovo 305
Samokhvalovo 583
Sokolovo 175
Nizhneglubokoe 3
Kolmogorovskoe 112
Gorbunovo 218
Dianovo 7
Novoe Lushnikovo 269
Polevoe 112
Kravtsevo 19
Kropani 621

Chistoprudnoe 722

Kislyanskoe 895
Blagoveshchenskoe 382
Petrovskoe 289
Peski 597
Galkino 594
Maloe Dyuryagino 487
Yagodnoe 274

Krutaya Gorka 729
Khutora 447
Borok 70

Petukhovo 11292
Uvarovo 311
Mokhovoe 239
Pashkovo 548

Paderinskoe 903
Ploskoe 249

Glyadyanskoe 3964

Krugloe 752
Lugovoe 131

Zverinogolovskoe 4060
Berezovskiy 99

Mezhbornoe 952

Proryvnoe 1229
Kazennoe 414
Klenovyy 188
Zelenaya Sopka 149
Snezhnaya 66

Lebyazh'e 6452
Slevnoe 226
Klyukvennoe 417
Yablochnoe 366
Zolotoe 390
Subbotino 456
Pershino 638
Il'ino 561

Barino 1431
Zubarevka 156
Karas'e 7
Antrak 3
Chernyakova 156
Vodennikova 7
Simakova 7
Vasil'ki 12
Lukina 145
Donki 8
Dolgie 356
Bratanniki 93
Patraki 157
Skaty 346

Krasnyy Oktyabr' 4234
Gagar'e 517

Kargapol'e 8433
Il'inka 73
Bol'shoy Kamagan 342

Mayka 648
Zakomaldino 487
Ichkino 597
Pivkino 489

Shchuch'e 10973
Yachmenevo 70

Makushino 8338
Mokino 154
Belyanino 148
Martino 313

Kashirino 1338

Pushkino 691

Mokrousovo 4849
Novoberezovo 485
Peredergina 136

Koryukina 772
Ufina 99
Dulino 413
Verkhozino 532
Beloe Ozero 380

Chastoozer'e 2749
Vorob'evo 78
Bakaevo 149
Aktaban 574
Otryad-Alabuga 138

Kamagan 831
Masli 254
