

Kurgan 333606
Peredergina 136

Paderinskoe 903
Shkodinskoe 252
Maslyanskoe 607

Svetlye Polyany 697
Maslyanaya 149
Novaya Zatobol'naya 149
Zelenaya Sopka 149

Novaya Sidorovka 1893
Pimenovka 618

Ikovka 4672
Sosnovka 573
Krestovka 166
Postovalova 180
Sukhanova 158
Dukhovka 77

Voskhod 806
Sosnovo 245

Krasnoznamenskoe 932
Sladkokarasinskoe 84
Karasi 611
Tokareva 212

Kargapol'e 8433
Kol'tsevoy 77
Chineevo 365

Sychevo 764
Chesnoki 563

Lesnikovo 5056

Kolesnikovo 734
Neftyanikov 240
Bol'shaya Nikolaevka 99
Kosolapovo 571
Gladkovskoe 334
Maloe Mostovskoe 373
Chernavskoe 549
Sanatornaya 334
Rovnaya 465
Snezhnaya 66
Pridorozhnyy 516

Ketovo 7251
Markovo 571
Kryukovo 389
Obukhovo 370
Galishovo 475

Gorokhovo 1051

Kipel' 939

Pes'yanoe 723

Glyadyanskoe 3964

Borovlyanka 867
Novokomogorovka 138
Chesnokovka 199
Smirnovo 199
Stanovoe 323
Lugovoe 131
Anchugovo 199
Belonogovo 443

Zverinogolovskoe 4060
Verkhnesuerskoe 632

Sovetskoe 1096
Ukrainets 331
Iskra 632
Kisloe 92

Krugloe 752
Frunze 199
Trud i Znanie 574
Aktaban 574

Baraba 696
Bakaevo 149

Koltashevo 1184

Vargashi 9254

Kashirino 1338
Vekhti 240
Mitino 607
Mingali 240
Maksimova 66
Maksimovo 66
Temlyakovo 373

Shmakovo 1319
Kamyshi 425

Menshchikovo 1268

Vvedenskoe 4537

Prosvet 3149

Staryy Prosvet 1106

Krasnyy Oktyabr' 4234
Il'tyakovo 234
Utyatskoe 446
Nagorskoe 621
Tersyukskoe 621
Ershovka 157
Sopinina 157
Kropani 621
Patraki 157
Vyatkino 539
Maloe Seredkino 122
Perevalovo 263
Raskovalova 234

Chashi 1950
Kalashnoe 244
Araslanova 136
Bayarak 272
Saltosarayskaya 166
Skaty 346
Tyumentseva 164
Chimeevo 446
Vorob'evo 78
Dvortsy 184
Kornilovo 78
Stennikovo 78
Rodniki 78
Volodina 164
Zolotoe 390
Peschanotavolzhanskoe 244
Popovo 346
Skopino 349
Mokino 154
Ekimovo 184
Bol'shoe Mokhovoe 164

Bol'shoe Chausovo 2026
Kotlik 136
Otstavnoe 66
Lebedevka 66
Novogeorgievka 1-ya 66
Ufina 99

Koryukina 772

Belozerskoe 4141
Pershino 638
Perunova 78
Novaya Roshcha 78
Oshurkovo 307
Bol'shoe Prosekovo 440
Baklanskoe 320
Ploskoe 249

Dolgovskoe 1085
Dolgovka 607
Arlagul' 370

Raskatikha 696

Mezhbornoe 952
Sosnovyy 278
Verkhneberezovo 329

Nizhnee 1018

Verkhnee 710
Obryadovka 188
Klenovyy 188

Novyy Mir 1325

Krasnyy Uralets 659
Krasnaya Gorka 91
Krutoyarka 91
Myrkayskoe 236
Pogadayskoe 309
Petrovskoe 289

Peschanskoe 896

Peschano-Koledino 933
Kazak-Kocherdyk 646
Karachel'skoe 634
Karandashovo 342
Dan'kovo 207
Zaykovo 306
Starikovo 646
Adzhitarovo 258
Yurovka 190
Davydovka 554
Bochagovka 86
Mochalovo 194
Nalimovo 336
Maloe Shmakovo 39
Tamakul'skoe 354
Bol'shoe Kasargul'skoe 186
Saratkul' 120

Kurort Ozero Medvezh'e 780
Portnyagino 86
Verkhnyaya Techa 545
Yasnaya Polyana 343
Lesnaya 86
Klyukvennaya 121
Razdol'naya 132
Privol'noe 275
Volosnikovo 81
Mel'nikova 15
Gorelyy Mikhal' 15
Kokorevo 103
Leshchevo-Zamaraevo 46
Banshchikovo 104
Gubanova 15
Maloe Pes'yanovo 178
Malodubrovnoe 147
Zalozhnoe 121
Maloe Bannikovo 20
Novye Baydary 159
Baksary 61
Barnevskoe 140
Sorovskoe 351
Varganovskoe 233
Novoikovskoe 392
Kulikovo 275
Achikul' 65
Borovichi 375
Vorob'i 81
Stroevo 315
Ostrova 178
Kostousovo 45
Vostochnaya 58
Lesnaya Polyana 58
Polynnyy Log 96
Zelenyy Log 25
Chistoprudnyy 25
Tolstovereteno 43
Pesterevo 43
Chereshkovo 45
Rechkino 147
Shutkino 22
Korshunova 38
Kurganova 28
Komanovka 28
Romanovka 113
Arsenovka 359
Nakhimovka 20
Petrovka 97
Yarovoe 327
Nizhniy Yar 205
Yaroslavskoe 391
Proshkino 198
Antoshkino 65
Chernushka 20
Zherebenkova 97
Uspenka 97
Listvyanka 216
Borodinka 85
Odina 159
Lozhkina 61
Smolina 196
Bol'shoe Molotovo 105
Bol'shoe Kamennoe 162
Malyy Kamagan 85
Zagaynova 196
Vagino 61
Kozino 351
Tropino 85
Yudino 65
Obanino 490
Aznalino 222
Shakhmatova 205
Ipatova 165
Bukharovo 165
Staroberezovo 52
Sartasovo 108
Kuznetsovo 62
Novokalmakovo 75
Varlakovo 264
Permyakovka 100
Malinovka 330
Podurovka 163
Belyakovka 187
Belovo 196
Nizhneberezovo 85
Pestereva 20
Usol'tseva 162
Solnechnaya 61
Dachnyy 85
Vodnyy 196
Logovushka 196
Petrushino 187
Tryukhino 108
Chashinskiy 143
Novoe Il'inskoe 318
Voskresenskoe 439
Novosel'skoe 129
Vostochnoe 439
Kocharino 37
Michurinets 107

Mir 887
Molodenki 90
Paderino 75
Dudino 135
Burmatovo 135
Romanovo 108
Zarya 52
Novaya Zavorina 143
Kazantseva 163
Severnaya 219
Dubravnaya 37
Stanovaya 441
Dernova 9
Severnyy 41
Kashirtsevo 124
Shirokovo 181
Erokhina 26
Osokina 33
Rassokhina 2
Karaseva 2
Mogileva 183
Murzabaeva 183
Malysheva 441
Koshelevo 57
Zaboshnoe 9
Zaborskaya 9
Podbornaya 41
Zarechnaya 16
Nazarovo 30
Dubrovka 107
Teplodubrovnoe 67
Cherepanova 219
Voronova 292
Sorokino 111
Kukushkino 125
Logoushka 420
Lapushki 294
Putilovka 46
Krutikhinskoe 95
Druzhinina 103
Pritchino 22
Zhilino 161
Mokrushino 36
Toporishchevo 36
Shchigry 121
Strizhovo 121
Shastovo 261
Bayazitovo 132
Novaya Nikol'skaya 97
Krepost' 327
Shelepovo 359
Zelenyy 113
Tyulenevo 147
Svetloe 38
Lipnyagova 38
Tebenyakskoe 22
Makar'evskoe 76
Moiseevka 45
Troitskoe 251
Trubetskoy 32
Trusilovo 358
Sokolovka 32
Naumovka 58
Pokrovka 96
Prudy 96
Prirechnaya 39
Vishnevaya 96
Pushnyakova 43
Chaeshnoe 43
Ozernoe 476
Severnoe 25
Kazantsevskoe 96
Zamaraevskoe 139
Krestovskoe 6
Pestovo 69
Okatova 6
Katkova 47
Titova 98
Nikitinskoe 146
Bol'shoe Krivinskoe 21
Balinskoe 49
Ozero-Kazanskoe 8
Ol'khovskoe Ozero 8
Bol'shoe Zarosloe 144
Nazarova 8
Chernoe Makarovo 82
Novoshchetnikovo 79
Volosnikova 79
Novodostovalovo 203
Kozlovo 167
Orlovka 144
Yazovka 146
Osinovka 98
Kuz'minovka 49
Taktashi 49
Ushakovo 13
Rusakovo 49
Chudnyakovo 79
Vishnyakovo 203
Vishnevka 82
Chuloshnoe 378
Maloe Zarosloe 98
Malye Karasi 8
Donki 8
Yarki 123
Skilyagino 8
Koshkino 79
Burannoe 79
Patranino 167
Karpunino 167
Bayganino 192
Gaganovo 98
Dolgaya 13
Beregovaya 12
Novaya Beloyarka 12
Novaya Lebyazhka 31
Malaya Gorbunova 8
Novaya Derevnya 123
Dal'nyaya Kubasova 203
Pishchal'noe 218
Poduval'naya 106
Mogil'naya 11
Yasnaya 93
Krasnyy Bor 11
Krasnogorka 118
Krasnotal 29
Krasnoyarka 17
Krasnoyarskoe 225
Sosnovskoe 225
Ivanishchevskoe 225
Neverovskoe 218

Borovskoe 720
Baskovskoe 280
Romanovskoe 134
Belyakovskoe 283
Salamatovskoe 93
Maksimovka 93
Simakova 7
Isakovo 11
Chernyakova 156
Kondakova 63
Zakoulovo 305
Neonilinskoe 305

Mekhonskoe 1595
Lenskaya 267
Zelenoborskoe 257
Nizhnetobol'noe 393
Porogi 191
Progress 593

Pogorelka 2467
Skorobogatova 72
Borozdinka 326
Il'inka 73
Vilkino 442

Mishkino 8034
Eremino 84
Patronnaya 84
Kupay 377
Alakul' 314
Kulash 77
Barashkovo 451
Shabarchina 152
Kaban'e 77
Volch'e 122
Domozhirova 122

Zhitnikovskoe 742
Okunevskoe 314
Osinovskoe 473
Nizhnepolevskoe 345

Verkhnyaya Polevaya 740

Krasnaya Niva 1426

Krasnaya Zvezda 930
Myasnikovo 194
Myl'nikovo 631
Nikolaevka 258
Puktysh 306
Martynovka 430

Sart-Abdrashevo 945
Karasevo 462
Bakharevo 246

Safakulevo 3629
Abultaevo 410

Tanrykulovo 749
Kazakkulovo 153
Kazennoe 414
Sazhino 337
Savina 337
Zhukovo 337
Ivankovo 260
Nifanka 597

Kislyanka 841
Polyana 185
Paratkul' 185
Loparevo 256

Al'menevo 4310
Uchkulevo 256
Ichkino 597
Ptich'e 624
Lis'e 487

Shchuch'e 10973

Chumlyak 968

Shumikha 17819
Zharnikova 91
Kalmyk-Abdrashevo 254
Maloe Okunevo 172
Maloe Dyuryagino 487
Zakomaldino 487
Baydary 487
Dalmatova 56
Maloe Sultanovo 56
Malodolgie 56
Rozhdestvenka 56
Blagoveshchenskoe 382
Sovetskaya 207
Kachesovo 207
Dryannovo 207
Bol'shoe Dyuryagino 396
Bol'shoy Kamagan 342
Bol'shoy Berkut 56
Bol'shoe Kureynoe 546
Bol'shoe Rakovo 447
Chistoe 447
Khutora 447

Sukhoborskoe 665
Beloyarskoe 500

Eloshnoe 648

Kayasan 1086

Krutaya Gorka 729
Beloyarka 1-ya 309
Travyanoe 309

Uksyanskoe 1956

Zatechenskoe 686
Klyuchevskoe 502
Shirokovskoe 538
Ural'tsevskoe 400
Krivskoe 570

Novopetropavlovskoe 1158
Pavelevo 360
Pavlunina 10
Predeina 190
Shemelino 190
Sheveleva 86
Pichevka 36
Gladyshevo 228
Kukarskaya 81
Karakul' 15
Buzan 15
Gorbuneshnoe 103
Ogonek 15
Koopzverpromkhoza 15
Dvukhozernaya 22
Bryukhovo 32
Likhanovo 74

Konovalovo 711
Semenova 25
Krasnoznamenka 25
Bol'shoy Zapoloy 25
Mayak 25
Ozernaya 139
Urozhaynaya 21
Zhavoronki 201
Vorotnikovo 88
Okonechnikova 88
Rytikova 34
Ikovskoe 51

Ushakovskoe 661
Ermakova 53
Tashkova 9
Patrakova 16
Zhilyakovka 9
Kalinovka 2
Zhdanovka 2
Polyakovka 2
Khudyakovo 33
Bol'shoe Shmakovo 30
Bol'shoe Pes'yanoe 48
Bol'shoe Subbotino 57
Knutovo 57
Chertovo 30
Ordina 30
Spitsina 9
Ubalina 111
Zhilina 88
Shusharina 21
Egorino 6
Borodino 8
Chernobor'e 193
Krasnobor'e 49
Borki 82
Manuylovo 82
Buguy 144
Chapaeva 144
Zelenaya Roshcha 69
Roshchino 35
Chineevskiy Uchastok 127
Shadrinskiy 80
Pervomayskiy 35
Malobelovodskiy 69
Iletskiy 6
Lesnoe 123
Niva 49
Shlyapnikova 102
Buntina 102
Yazevo 102
Sevost'yanovka 12
Ostrovnoe 126
Shchuchanka 126

Mal'tsevo 700
Maletino 238
Antipino 89
Borchaninovo 255
Gorbunovo 218
Novokaminka 89
Elizavetinka 23
Okhotino 29
Govorukhino 11
Frolikha 11
Novonikol'skaya 7
Vodennikova 7
Bol'shoe Bannikovo 238
Maloe Beloe 356
Rechkalovo 17
Konovalova 356
Babinova 7
Shutka 7
Shuravino 29
Zhuravlevka 225
Verkhnyaya Alabuga 255
Ploskaya 89
Teter'e 106
Karas'e 7
Staropes'yanoe 1
Pristantsionnyy 191
Bratanniki 93
Slobodchiki 11
Sladchanka 156
Bedinka 7
Bydino 1
Dianovo 7
Podkorytova 7
Suerskaya 118
Belozerki 118
Konevo-Kazantseva 23
Dolgie 356
Bayrak 106
Antrak 3
Kandakovka 14
Leshakova 3
Kalmakova 14
Orlovo 14
Novoe Lushnikovo 269
Borisova 269
Snegiri 3
Berdyugino 27
Tverdysh 291
Ust'-Tersyuk 3
Gruzdeva 3
Medvedskoe 613
Sukhrinskoe 613
Kolmogorovskoe 112
Sokolovo 175
Samokhvalovo 583
Rekord 63
Teploukhova 63

Shatrovo 5688
Bol'shaya Gorbunova 19
Bobyleva 19
Kachusovo 93
Racheevka 283
Matveevka 622
Kozyrevka 13
Kireevka 21
Yakovlevka 141
Kremenevka 88
Baranovka 88
Tarasova 160
Chusovaya 115
Sekisovo 111
Trekhozerki 160
Ozerki 51
Roza 34
Voznesenskoe 201
Chuga 35
Ulugushskoe 80
Trebushinnoe 361
Kurmyshi 88
Morshikha 608
Chernavchik 111
Chesnokova 125
Chesnokovka 1-ya 95
Tuzovo 95
Mezhles'e 95

Bol'shaya Riga 713
Komsomol'skaya 221
Komintern 103
Priozernaya 104
Rybnaya 104
Cherdaki 46
Ganicheva 103
Pegan 81
Zyryanka 178
Voskresenka 28
Asyamolova 121
Plotnikova 161
Murashovo 38
Ural 198
Oktyabr' 198
Yasnye Zori 132
Guberlya 261
Red'kino 359
Lugovaya 97
Stolbovo 327
Yurkovo 159
Uzkovo 61
Gorshkovo 85
Pervomayka 85
Utchanskoe 61
Shan'gina 24
Zhikina 108
Spasskoe 24
Myasnikova 196
Tyurikova 105
Krasikova 83
Lesnikovka 5
Ik 48
Zheltiki 183
Beloe 67
Bereznyaki 16
Koroli 16
Leninka 30
Denisovo 9
Novyy Put' 9
Podgornaya 67
Kolmakovo-Miasskoe 57
Krasnyy Kholm 197
Malyy Atyazh 46
Krasnyy Uval 75
Chekalina 75
Brylino 568
Ust'-Suerskoe 130
Suslovo 62
Belousova 59
Ivankovskoe 129
Novozaborka 59
Petukhi 163
Lukino 214
Balakul' 214
Maloe Kureynoe 55
Maloe Priyutnoe 55
Pritobol'noe 319
Bol'shoe Shchuch'e 75
Verkhneklyuchevskoe 568
Barnevka 37
Batyrevo 48
Butyrskoe 328
Vokhmenka 328
Obmenovo 5
Lobanovo 247
Zyuzino 247
Baskazyk 55
Skatova 5
Askarovo 116
Dubrova 4
Biserova 155
Iskandarovo 124
Aleksandrovka 33
Novaya Kalinovka 170
Noskovo 26
Pomalovo 26
Maloe Krivinskoe 33
Pivishnoe 94
Slivnoe 33
Desyatyy Oktyabr' 33
Vodolazovo 33
Berezovka 2
Mamontovka 41
Prygova 57
Vavilkova 2
Kirpichiki 2
Nikitino 53
El'nichnaya 53
Malopes'yanaya 18
Pervomayskaya 34
Okulova 87
Frolovka 160
Zolotovka 88
Kardapolova 133
Malyy Zapoloy 80
Yurakhly 80
Iryum 137
Ryasovo 6
Blizhnyaya Kubasova 98
Kylman 6
Chebach'e 47
Zenikay 137
Galaevo 139
Tumanova 127
Salomatova 174
Pod'yasovo 174
Rybnoe 242
Noril'noe 189
Barsukova 32
Galkino 2-oe 25
Mit'kina 58
Chuvarina 58
Kokorina 96
Potanina 120
Chalkino 114
Khokhly 114
Sladkoe 114
Padun 210
Kamyshino 58
Shutino 336

Krutikha 807
Shutikhinskoe 631

Il'inskoe 1757

Kataysk 14003
Verkhnie Peski 350
Verkhniy Yar 403

Dalmatovo 13911
Kostylevo 354

Kosulino 685
Spornoe 336
Murashova 39
Kochegarova 39
Grachevo 237
Chernavskiy 191
Cheremisskoe 345
Ust'-Miasskoe 506
Kodskoe 601

Tagil'skoe 962
Zaural'skoe 451
Murzina 158

Baturino 1130

Shadrinsk 77756
Shalamovo 236
Novotroitskoe 309
Krasnoisetskoe 487
Zhidki 342
Seredkino 56
Galkino 594
Pon'kino 333

Ol'khovka 1473

Klyuchi 681

Chistoprudnoe 722
Kamennoe 473
Tukmannoe 263
Kloktukhino 180
Fadyushino 326
Yuldus 585
Bugaevo 122
Nechunaeva 169
Lapteva 243
Novye Peski 243

Mayskiy 883

Kislyanskoe 895
Kokuy 60

Kurtamysh 17099

Kamagan 831
Gagar'e 517

Yurgamysh 7616
Pustuevo 60

Pushkino 691
Skoblino 416
Bugrovoe 182

Kirovo 1750
Makarovo 339

Svetlyy Dol 722
Bol'shoe Dubrovnoe 333
Bol'shoe Okunevo 70
Okunevka 70
Yachmenevo 70
Borok 70
Kuzinka 70
Bol'shoe Sultanovo 333

Kanashi 1450

Lyubimovo 885
Petropavlovskoe 554
Bol'shoe Gusinoe 340
Profintern 38
Komariya 15
Udarnik 103
Porotova 104
Sharipovo 371
Shakhmatovo 197
Kushma 296
Dundino 296
Bashkirskoe 608
Lesnoy 51
Krutoy Log 110
Prilogino 321
Deulina 321
Chemyakina 64
Staroshchetnikovo 64
Denisova 230
Gusinoe 230
Tunguy 144
Tavolzhanka 69
Kropanka 430
Nadezhdinka 253
Kondinskoe 489
Yalanskoe 599
Mansurovo 527
Kurort Ozero 468
Dubrovnoe 489
Pivkino 489
Agapino 462
Bikbirdy 241
Sulyuklino 600
Suleymanovo 525
Yulamanovo 546
Zamanilki 518
Kazantsevo 56
Maylyk 266
Peski 597

Tselinnoe 5076

Kostygin Log 833
Ozhogino 323
Demino 312
Vozdvizhenka 223
Setovo 312
Otradnoe 199
Yagodnoe 274
Masli 254
Petukhovskoe 73

Petukhovo 11292
Verkhozino 532
Kazarkino 477
Martino 313

Makushino 8338
Cheremushki 413
Berezovo 302
Zotino 380
Odino 347
Dulino 413
Verkhneglubokoe 457
Mokhovoe 239

Mokrousovo 4849
Chesnokovo 148
Rychkovo 366
Sivkovo 349
P'yankovo 244
Yagodnaya 522
Zaozernaya 157
Spitsyno 411

Barino 1431
Il'ino 561
Yautla 303
Barnaul 1
Zubarevka 156
Lukina 145
Kravtsevo 19
Vasil'ki 12
Gryzanovo 12
Vyatka 13
Preobrazhenka 102
Dobrovol'noe 112
Zabrodino 112
Nizhneglubokoe 3
Polevoe 112
Gusinnoe 27
Kovyl'noe 27

Tsentral'noe 654

Travnoe 664
Golovnoe 338
Setovnoe 524
Rechnoe 395

Polovinnoe 4645
Klyukvennoe 417
Sukhmen' 380

Sumki 1085
Balki 445
Ust'-Utyak 456
Subbotino 456
Pervomayskoe 334

Sadovoe 1938
Berezovskiy 99

Mostovskoe 1544
Zalesovskiy 320
Terpugovo 320

Pichugino 758
Likhachi 498
Mikhaylovka 374
Staropershino 397
Uvarovo 311
Sungurovo 483
Utich'e 479

Lebyazh'e 6452
Lebyazh'e 1-e 496

Lopatki 1108
Obutkovskoe 526
Morevskoe 68
Kaminskoe 482
Rynki 482
Cherdyntsevo 171
Chebaki 304
Shestakovo 68
Pashkovo 548
Ignat'eva 68
Kovriga 482
Ganino 171
Belyanino 148
Belyy Yar 226
Buldak 226
Itkul' 109
Kurtan 426
Kurskaya 109
Fatezhskaya 226
Slevnoe 226
Bralgina 148
Mishagina 68
Novaya Ukrainka 68
Sokol'niki 68
Glubokoe 526

Oktyabr'skoe 909
Novoberezovo 485
Strel'tsy 532
Matasy 310
Mars 148

Pionerskoe 766
Menderskoe 171
Zav'yalova 171
Medvezh'e 171
Butyrino 273

Chastoozer'e 2749
Beloe Ozero 380
Vasil'evka 302
Khlupovo 572
Filippovo 224
Yalym 542

Plotnikovo 731
Kamyshevka 542
Otryad-Alabuga 138
Bogdany 138
Paramonovo 331
Bol'shoe Priyutnoe 331

Proryvnoe 1229

Ust'-Uyskoe 819
Mikhalevo 550
Zhuravlevo 446
Steklozavod 390
Redut' 78
Pamyatnoe 619
Yablochnoe 366
Verkhniy Suvarysh 154

Kamyshnoe 668
Kiley-Kazakkulovo 115
Talovka 321
Yuruzanovka 18
Vas'kino 18
Vatolino 18
Mnogopol'e 18
Sadovod 321
Nov' 18
Kamchatka 54
Krivina 54
Lesnye Gorki 54
Maslovo 284
Oseeva 2
Seleznevo 2
Gribnoy 2
Pershinskoe 284
Lokti 40
Kopyrino 111

Kyzylbay 928
Listvennaya 51
Chistopol'e 5
Razdol'e 83
Tebenyak 83
Dem'yana Bednogo 155
Arkhipovo 44
Bukharinka 55
Grenadery 116
Dmitrievka 200
Kolupaevka 124
Zarech'e 150
Korov'e 381
Klyuchiki 177
Bol'shoe Kaban'e 177
Glubokaya 42
Pletni 42
im Budennogo 42

Krasnomyl'skoe 793

Mayka 648
Maray 310
Novogeorgievka 2-ya 513
Stepnoe 424
Rassvet 386
Pepelino 506
Nizhnyaya Alabuga 152
Sibirki 122
Koryukovo 340
Iz'edugino 202
Uglovoe 96
Mezheumnoe 96
Mamonova 43
Khramova 151
Gomzino 58
