

Saskatoon 246376
Colonsay 451
Aylsham 65
Meacham 99

Dalmeny 1826
Vonda 384
Dundurn 611
Endeavour 65
Glenside 76
Lake Lenore 284
Middle Lake 241
Drake 197
Wakaw 922
Duck Lake 569
Blaine Lake 499
Laird 267
Aberdeen 622
Borden 287
Hafford 407
Richard 20

Langham 1496
Tramping Lake 60
Bracken 20
Shamrock 20
Paddockwood 154
Wood Mountain 20
Maymont 138
Osage 20
Ruddell 20
Qu'Appelle 639
Perdue 334
Conquest 160
Vanscoy 462

Martensville 9645
Marcelin 153
Kisbey 153
Bethune 399

Rosthern 1688
Hepburn 688
Waldheim 1213

Warman 11020
Osler 1237
Delisle 1038
Harris 193
Wiseton 79

Rosetown 2451
Brock 142
Rocanville 863
Fox Valley 249
Burstall 378

Kindersley 4571
Dodsland 215
Luseland 623
Landis 152
Radisson 514
Smiley 60
Kinley 60
Beatty 60

North Battleford 14315

Battleford 4429
Prelate 154
Denholm 88
Glen Ewen 154
Alvena 60
Speers 60
Leask 399
Meath Park 175
Parkside 121
Debden 337
Elbow 337
Shellbrook 1444
Shell Lake 175
Spiritwood 786
Canwood 332
Bengough 332
Togo 86
Smeaton 182
Minton 55
Quinton 101
Kelvington 834
Fosston 45
Success 45
Findlater 45
Lintlaw 172
Chamberlain 90
Buchanan 218

Canora 2024
Norquay 434
Invermay 273
Drinkwater 70
Springside 502
Bangor 38
Langenburg 1165
Churchbridge 896
Gerald 136
Spy Hill 168

Melville 4562

Fort Qu'Appelle 2027
Kelliher 217
Lipton 345
Lestock 95
Balcarres 587
Carmichael 58
Punnichy 213
Ituna 701
Francis 217
Elfros 90
Keeler 15
Leroy 450
Waldron 15
Ernfold 15
Calder 90
Wadena 1288
Stenen 90
Jansen 96
Lanigan 1377
Semans 196
Margo 83
Strasbourg 800
Holdfast 247
Tugaske 75
Tuxford 113
Creelman 113
Craik 392
Craven 214

Lumsden 1824
Edenwold 233
Kennedy 216
Abernethy 204
Lemberg 313
Leross 46
Cupar 564
Markinch 58
Southey 804
Disley 67
Dilke 98
Silton 71
Stoughton 649
Milestone 699
Lang 189
Pangman 232
Vibank 385
Mankota 205

Pilot Butte 2137

