

Glasgow 591620

Larkhall 15020

Kirkintilloch 19630

Stirling 36440
Blairhall 950
Blackridge 1950
Braidwood 600
Brightons 4700
Kirkliston 3590
Elphinstone 540
Duns 2680
Freuchie 1240
Markinch 2430
Auchtermuchty 2120
Winchburgh 2500
Bargeddie 2670
Salsburgh 1540
Laurieston 2670
Blackburn 5480
Currie 6500
Longridge 860

Airdrie 37130
Rumford 840
Carronshore 3040
Croy 1390
Westquarter 1150
Rosewell 1540
Stenhousemuir 10050
Seafield 1330
Gatehouse of Fleet 950
Ratho Station 1190
Tranent 11840
Dechmont 690
Burntisland 6370
Clackmannan 3450
Dunning 930

Grangemouth 17280
Drumoak 860
Dennyloanhead 1530
Oakley 2280
Glenochil Village 820
Callander 3120

Clydebank 26640
Springside 1260
Milton of Campsie 3950
Carron 2530

Broxburn 15360
Kinghorn 2870
Carnock 760
Lochgelly 6586
Loanhead 6350

Glenrothes 39100
Roslin 1630
Inverkeithing 5220
Whitecraig 1200

Bathgate 21070
Airth 1760

Rosyth 13690
Addiebrownhill 1470
High Valleyfield 2280
West Calder 3100

Dalserf 17985
Hallglen 3200
Alva 4720
Twechar 1160
Coaltown of Wemyss 610
Galston 4690

Bellshill 20650
Dunbeg 610

Cumbernauld 51610

Bearsden 27340
Calderbank 1610
Denny 7860
Glenmavis 2290
Maddiston 3190
Coalsnaughton 850
Nairn 9860
West Barns 680
Plains 2740

Blantyre 17090
Duntocher 7036
Nerston 500
Strathblane 1960
Clarkston 9460
Law 3250
Wallacestone 680
Chapelhall 6560
Shieldhill 2470
Tillicoultry 5160
Burrelton 690
Bilston 1210
Methil 11160

Perth 47180
Carnwath 1430
Netherburn 760
Dornoch 1270
Aberdour 1650
Kincardine 2810
Cairneyhill 2480
East Whitburn 1240
Ashgill 1460
Kilsyth 9860

Hamilton 53200
Stoneyburn 1970
Colinton 7637
Haddington 9020
Kirknewton 1950
Scone 4840
Newbridge 1013
Dalgety Bay 9810
Avonbridge 690
Mid Calder 3460
Gorebridge 6330
Forth 2240
Gartcosh 2130
Milngavie 13110
Bonhill 9180
Glenboig 2780
Cleland 3000
Kirkfieldbank 940
Kirkconnel 2070

Viewpark 16020
Harthill 3710
Bothwell 6410
High Bonnybridge 620

Bo'ness 14910
Abernethy 1470

Motherwell 32120

Barrhead 17620
Newmacher 2510
Armadale 11770
Alford 2290
Torrance 2370
Renton 2490
Lennoxtown 4060
New Stevenston 5450

Newton Mearns 24650

Dumbarton 19950

Cambuslang 27610
Bowling 520
Overtown 2110
Milnathort 1910
Rosneath 1260
Waterfoot 1260
Blackwood 1901
New Cumnock 2840

Dumfries 33280

Prestwick 14750
Rothesay 4540
Whiting Bay 640
Drongan 3170
Brodick 830
Auchinleck 3760

Kilwinning 16420
Moniaive 500
Cairnryan 3757

Paisley 76220
Fairlie 1440
Carstairs 890
Faichem 10
Southerness 170
Crosshouse 2850
Bishopton 4640
Stewarton 7140
Coylton 2180
Stonehouse 5500
Busby 3220
Queenzieburn 520
Cowie 2640
Lenzie 8580
Lerwick 7040
Auchterarder 4620
Errol 1410
Ceres 950
Reddingmuirhead 1580
Danderhall 2770
Bridgend 760
Bonnybridge 5280
Menstrie 2770
Comrie 1900
Buchlyvie 530
Elderslie 5690
Darvel 3860
Brookfield 570
Balfron 1860
Kilbarchan 3580
Lochwinnoch 2900

Wishaw 30510
Thorntonhall 610
Chryston 2900
Wemyss Bay 2580
Banknock 2370
Balloch 1743
Dalry 5560
Alexandria 6940
Cardross 2130
Kinnesswood 500

Erskine 15530
Skelmorlie 1990
Town Yetholm 570
Caol 3220
Kippen 1110
Kirriemuir 6160
Kemnay 3830
Ardersier 1110
Aberfeldy 1960
Cowdenbeath 11460
Cockenzie 5660
Leslie 3050
Prestonpans 9490
Cupar 9270
Dunbar 8470
Earlston 1780
East Wemyss 1970
Muirhead 1542

Kirkcaldy 49460
Carstairs Junction 780
