

Taiyuan 3065874
Songta 7802
Huangyadong 13857
Houbeizhuang 41006
Beishidian 33407
Huangnian 35495
Zhangyuan 13367
Nanzhuang 20195
Zhupu 10445
Zhaoyu 31685
Xiaojiazhuang 32757
Guxian 31538
Sanquan (Luliang) 32948
Zhuangshang 18442
Mianshan 29578
Dingchang 57064
Hengling 4540
Jucheng 27018
Mengfeng 31488
Jingsheng 28767
Mingjiang 47416
Nanliang 45098
Quanzhang 17578
Weizhuang 13659
Caochuan 22100
Tonghua 29718
Dongguo 14320

Gujiang 83478
Tiantan 47736
Taitou 13588
Bailong 32725
Xiabao 18119
Xinzhi 48543

Xincheng (Linfen) 79814

Zhaocheng 78065
Gucheng (Linfen) 45085

Tongcheng 118513
Zhangcun 26063
Zhaokang 27716
Jichang 43389
Hanxue 24910

Changning 68812

Tangxing 86862
Dingdian 15725
Pingcheng 21742
Dongye (Jincheng) 20531
Yingyan 17664
Qinghe 30151
Qiji 28865

Jifeng 132509

Xincheng (Yuncheng) 76386
Zhengzhuang 14392
Guangshengsi 47010
Shuangchi 22926
Jiajiazhuang 30070
Dujiaoqu 4493

Linquan 91670

Dongguan 75135
Yanzhuang 21791

Chaoyang 89216
Yaocun 23325
Yangjiazhuang 14177
Nanguan 34627
Dongquan 20937

Jinzhong 557241
Longfeng 12666
Kangcheng 14867
Pucheng 32240
Qucun 25135

Yuncheng 493068
Fancun 48201
Shuitou (Yuncheng) 45914
Qingtou 47607
Longxing 56381
Zhongcun 13053
Dongzhen 52344
Gucheng (Datong) 17664
Zhengcun 15992
Fucheng 32816
Shennong 21020
Longgang 58660
Tangcheng 11944
Wangcun 14273
Duancun 31929
Duizhen 42196
Cuifeng 38548
Jiuxian (Linfen) 11098

Jindian 65795
Sengnian 14233
Lianfu 28021

Tianning 100523
Nitun 16854
Sunjiazhuang 26898
Kangjiahui 6480
Weijiatan 23079
Linjiaping 24445
Xiying (Luliang) 28563
Xinyi 9689
Xiaqu 39332
Xiuwen 29183

Yixing 71271
Zhiting 15147
Jishi 9461
Dajiao 28660
Guojiazhuang 32221
Nanjia 27292
Nianzhang 12263
Lizhai 29011

Dahuaishu 151037
Huangtu 11469
Yangquanqu 34570
Pangquangou 1706
Wujiazhuang 7585
Duizhu 11895
Tunli (Yaodu) 20530
Licao 25256

Gutao 133675
Shuiyuguan 13292

Haozhuang 84298

Guanshan 122675
Xizhang 12754

Shangguan 65960
Changchi 24238
Changlianggou 16683
Shangshe 14478
Xiangyang 17298
Hedi (Yangquan) 44032
Songyan 13521
Nanyanzhu 13691
Baijiazhuang 11668
Shangzhai 14792
Que'ershan 11948

Huquan 66271
Xuangang 19963
Donghuangshui 9722
Shijiazhuang 3731
Chengzhuang 24131

Fengcheng (Luliang) 128571
Liangdu 27669
Xishe (Luliang) 10695

Ningxiang 76490
Xinghuacun 30546
Hucun 45359
Huangzhai 22233
Zhanshang 7808
Chengzhao 34888
Haobei 13063
Hongshan 35318
Wujinshan 33115
Zhangzhuang 39012
Jinchang 54533
Zhenchengdi 9022
Jinsheng 39489
Jingyou 17921
Jialing 25942

Gujiao 113421
Ninggu 36708
Lingkongshan 9611

Changzhi 844690
Mishan 29906
Zhaidian (Changzhi) 21817
Xindian 14838
Matian 18168
Zhangdian (Changzhi) 21041
Dianshang (Huguan) 28843
Shizhuang 9568

Longquan (Changzhi) 74611
Jianzhang 8683
Machang 33441
Xiacun 46926
Longxi 17622
Dadonggou 31732
Daxinzhuang 30039
Hechuan 10123
Longhua 36426
Manghe 19646
Nanzhang 24760
Nancun (Jincheng) 48926
Xingcheng 11866
Dayang (Jincheng) 26285
Qingyang 34098
Xijing 25791

Leping 88559
Jinci 40871
Jicheng 43484
Dianshang (Lucheng) 31314
Yincheng 45437
Fengyi 9397

Jincheng 653186
Jinzhuang 24848
Jincun 51880
Runcheng 34051
Chenqu 28186
Shicheng 12663
Beishi 28324
Shanhe 22400
Xiangshuihe 16498
Gaoxian 29825
Sijiao 9326

Jiedian 81386

Shengrenjian 84329
Zhaidian (Yuncheng) 37439
Zhangdian (Yuncheng) 18339
Beizhang 22682
Lechang 64587
Lishan 13755
Lichuan 14404
Haojiazhuang 26480
Yechuan 21027
Wuyuan 15530
Dongyangguan 15301
Liyang 17748
Laiyuan 2011
Liyuan (Changzhi) 14695
Yong'an (Linfen) 21125
Lingquan 41996
Wan'an (Linfen) 64458
Shuitou (Luliang) 29755
Yitang 28237
Xiajiaying 36525

Xiaoyi 209432
Yi'an 54246
Zhanglan 43151
Kaizha 34205
Zhaoxian 14342
Xixinzhuang 16839
Qingxiang 17654
Qiaoli 18105
Licun 17986
Tunli (Ji) 12535
Wan'an (Yuncheng) 18575
Yangwang 21766
Xiangling 40711
Dayang (Linfen) 22428
Guyang 12612
Heilongguan 20121
Longquan (Linfen) 39622

Liulin 112913

Jiexiu 113464
Jicun 39138
Duanchun 15077
Nuanquan 10728
Liujiayuan 26486
Guanghua 21622
Huayu 39608
Anyu 29561
Xishe (Yuncheng) 28334
Hengshui 46681
Henghe 3826
Liyuan (Yuncheng) 31921
Fencheng 51380
Hengqiao 40154
Yaomiao 37017
Subao 27875
Guodao 17198

Guhan 82325
Guocun 11026

Huozhou 98709
Dengzhuang 41741

Datong 1297763
Sulongkou 15347
Donghenan 26083

Longquan (Datong) 95849
Shuiquan 3653
Xincheng (Shuozhou) 52903
Jiuxian (Xinzhou) 6372

Yunxing 73410

Wuling 121110
Xinpingbao 12108
Dongye (Xinzhou) 37748
Yexi 14165
Panlong 21228
Dongshe 31929
Taohongpo 16378
Wutong 26766
Dongyu 27620
Douluo 18655
Xugou 48040
Yijing (Xinzhou) 11723

Mingxing 82981

Qingyuan 116598
Dongyang 25936
Liaoyang 18638
Miaozhuang 8719

Danzhu 89543
Daji 17400
Jiafeng 38076
Jiazhang 15489
Shangyao 17224
Yangcun 16223
Zhoucun 23483

Chongwen 68079

Fengcheng (Jincheng) 126960
Beiyicheng 27697
Beiliu 37801
Moli 9747
Sanluli 11940
Linjin 38100

Hejin 169430

Yongji 173551
Hongzhiyi 17956
Yongle 22205
Monan 43851
Hanyang 22630
Zezhang 27773

Linfen 518828
Nanfan 24060
Sanquan (Yuncheng) 40227
Sanguan 18782
Peizhuang 27453
Beixiang 33489
Miaoqian 28471
Xuedian 13612
Wadi 28357
Xipo 15755
Xiandi 33518

Shuozhou 410412
Hongdao 26760
Daying 17261

Yuanping 136792

Yangquan 293709
Zhuangmo 12233
Fenghuang 21067
Beizhouzhuang 21667
Beijiazao 18739
Weiyuan 8468
Shaquan 7421
Quyu 26119
Mafang 16652
Kangning 17826
Sanjing 6796
Yujing 11863
Xiping 27732
Yangmingbao 19840
Laoying 6524
Puming 20875

Xinzhou 370799
Xiyan 18426
Guoyang 30874
Pingxingguan 12053
Longquan (Xinzhou) 40562
Nanhezhong 38602
Dongzhai 17452
Wanjiazhai 7451
Caijiahui 9814
Sanjiao (Liulin) 11972
Xiaosuan 9310
Chengjiazhuang 12847

Luliang 283129
Liuhulan 37235
Malan 21056
Nan'an 34229
Wanghe 11123
Wangtao 9521
Gaoyang 40393
Yanwu 27352

Fenyang 77837

Yunzhong 169481
Dongxiaocun 10684
Bajiao 8776
Yuanbaozi 11837
Louziying 7207
Loufan 42520
