

Johannesburg 7860781
Sasolburg 113368
Heilbron 27407
Villiers 17315
Deneysville 19478
Fochville 38491
Carletonville 149065
Westonaria 31733

Evaton 605504

Pretoria 1763336
Bronkhorstspruit 34395

Witbank 311657
Vaalbank 16290
Hammanskraal 94273
Marikana 19522
Cullinan 28451
Leslie 32980
Embalenhle 118889
Balfour 25969
Frankfort 26144
Standerton 84383
Trichardt 44049
Kriel 15237
Delmas 52125
Nigel 30276
Heidelberg 71661

Vereeniging 377922
Ventersdorp 22073
Koster 19498

Rustenburg 311901
Zeerust 15987
Hartbeestfontein 18608
Stilfontein 63836

Klerksdorp 189496
Orkney 91854
Viljoenskroon 31468
Bothaville 46029
Allanridge 19337
Odendaalsrus 63743
Senekal 25543
Theunissen 23513
Virginia 66208

Welkom 211014
Wesselsbron 26808
Kroonstad 97780
Potchefstroom 148804
Ottosdal 18372
Itsoseng 19959
Mahikeng 64359
Schweizer-Reneke 41227
Warrenton 22588
Bultfontein 23365

Bloemfontein 464591
Bloemhof 27904
Hoopstad 16033
Wolmaransstad 33492
Coligny 17278
Lichtenburg 45449
Frischgewaagd 13515
Vryburg 46639
Jan Kempdorp 23003
Douglas 20082
Ritchie 14850
Christiana 20882
Barkly West 20105

Kimberley 225155
Colesberg 16870
Whittlesea 28248
Somerset East 18824
Fort Beaufort 25668
Port Alfred 25858

Port Elizabeth 876436
Dimbaza 21784
Stutterheim 24672
Butterworth 44308
Mthatha 137589
Margate 26786
Mpumalanga 62406
Tongaat 54109
Stanger 134525
Empangeni 27606
Mandini 31327
Ulundi 26538
Mondlo 44981
Dundee 34924
Vrede 17689
Reitz 20183
Bethlehem 76015
Wembesi 28252
Estcourt 22072
Glencoe 17548

Newcastle 291484
Volksrust 24281
Daggakraal 13182
Ermelo 83735
Belfast 16723
Bethal 60780
Kinross 15246
Carolina 16847
Middelburg 163809
Lydenburg 41403
Sabie 15778
Praktiseer 22264
Lebowakgomo 35089
Mookgophong 24854
Mokopane 75516

Polokwane 227407
Mankweng 41298
Nkowankowa 42859
Phalaborwa 13108
Siyabuswa 36882
Kwaggafontein 45104
Ekangala 48492

Soshanguve 728063
Hartebeespoort 22312
Brits 65113
Bela-Bela 44999
Lephalale 17639
Vaalwater 16462
Modimolle 41988
Thabazimbi 28846
Amandelbult Mine 21356
Swellendam 17522
Riversdale 16177
Groot Brakrivier 15031
Grabouw 31291
Stellenbosch 80316
Worcester 97075
Ceres 23873
Malmesbury 35897

Somerset West 188035
Robertson 27714
Plettenberg Bay 31822
Mossel Bay 65887
Montagu 15176
Atlantis 69055

Cape Town 3430992

Paarl 197735
Saldanha 28142
Vredendal 18170
Vredenburg 38382
Bredasdorp 15524
Oudtshoorn 61508
George 157397

Uitenhage 242924
Jeffreys Bay 27107
Knysna 50029
Humansdorp 28990
Grahamstown 67264
King William's Town 77682
Queenstown 98988
Alice 15142
Elliot 14376
Botshabelo 181712
Thaba Nchu 60696
Aliwal North 35153
Burgersdorp 15991
Zastron 15607
Ladybrand 25816
Clocolan 17602
Marquard 15502
Harrismith 27869
Ladysmith 119726
Phuthaditjhaba 56251
Tshiame 14857
Ficksburg 41248
Postmasburg 30089
Upington 67581
De Aar 29989
Graaff-Reinet 35672
Cradock 36671

East London 295644
Gonubie 19809
Mdantsane 171522
Ncotshane 16328
eMkhondo 57428
Vryheid 47365
Mtubatuba 27695
Richards Bay 50533
Howick 27087
Mpophomeni 25732

Pietermaritzburg 475238
Mooi Rivier 18137
Greytown 19313
Ballito 23135

Durban 2786046
Shakaskraal 22824
Umzinto 16205
Port Shepstone 37089
Clydesdale 15322
Kokstad 51540
Thohoyandou 89427
Louis Trichardt 25359
Musina 42677
White River 21373
Nelspruit 58670
Barberton 48505
Beaufort West 34085
Parys 48169
Hermanus 46856
