

Oklahoma City 681054

Del City 21822

Midwest City 58409
Lost City 767
Geary 994
Lexington 2010

McAlester 18171
Sterling 668
Billings 578
Welling 781
Blanco 105

Blanchard 8879

Newcastle 10984

Tuttle 7413

Mustang 19879
Strang 64
Stratford 1405

Ada 16481
Davis 2823
Davidson 241
Randlett 289
Chandler 2858
Stringtown 419
Cowlington 109
Dacoma 109
Macomb 22
Comanche 1378
Manchester 90
Chester 176
Pumpkin Hollow 176
Hollis 1795
Hollister 35
Wister 1031
Heavener 2985
Beaver 1280
Barnsdall 1034
Hillsdale 75
Dale 175
Rosedale 62
Roosevelt 254
Rose 225
Boswell 579
Red Oak 537
Hochatown 242
Notchietown 302
Etowah 159
Platter 159
Latta 1465

Henryetta 5640
Yeager 45
Gage 433
Gans 251
Gate 60
Coalgate 1667
White Water 79
Foster 246
Foss 101
Pensacola 101
Indianola (Pittsburg County) 148
Indianola (Delaware County) 51
Nashoba 51
Nash 192
Zena 181
Goldsby 2694
Golden 71
Cole 624
Coleman 290
Short 290
North Miami 290

Miami 12969
Copeland 1511

Grove 6956

Verdigris 5256
Limestone 804
Preston 169
Rosston 52
Lotsee 6
Tullahassee 83
Pocasset 183
Fitzhugh 183
Hulbert 483
Carter 183
Carlisle 483
Earl 44
Earlsboro 594
Calera 2916
Vera 334
Leach 249
Achille 398

Vinita 5193
Titanic 259
Thomas 1143
Lahoma 539
Valley Brook 665
Hooker 1802

Guymon 12965
Mangum 2762
Blackgum 47
Bluejacket 235
Tiawah 235
Konawa 1288
Mazie 74
Zion 30
Dwight Mission 76
Chewey 548
Dewey 3372

Bartlesville 37290

Collinsville 7881
Mannsville 728
Colcord 728
McCord 1418

Ponca City 24424

Blackwell 6085
Blackburn 70
Shady Grove (Cherokee County) 519
Clarita 135
Teresita 188
Kenefic 147
Okeene 1090
Okay 505
Wewoka 3133
Fairfield 626
Fairfax 1136
Meno 198
Ames 193
Camargo 193
Fargo 312
Fay 32
Watova 32
Watonga 2690

El Reno 16989
Union City 1794
Cimarron City 155
Hodgen 62
Dodge 89
Dotyville 89
Kellyville 1019
Haskell 1626

Coweta 9654

Broken Arrow 113540

Broken Bow 4228

Hugo 5166

Sulphur 5065

Durant 18589
Grant 190
Mulberry 96
Belfonte 298
Bell 191
Isabella 114
Greenfield 114
Grandfield 919
Rush Springs 997
Erin Springs 89
Flute Springs 87
Canute 494
Talala 258
Lake Aluma 87
New Alluwe 89
Hallett 105
Allen 805
Healdton 2328
Little Rock 197
Little Ponderosa 438
Binger 438
Springer 685
Pump Back 160
Ballou 155
Willow 119
Bull Hollow 61
Steely Hollow 292
Buffalo 1039
Fallis 21
Durham 21
Welty 131
Felt 77
Terlton 77
Carlton Landing 94
Duchess Landing 157
Winchester 546
Picher 20
Cherokee 1476
Cherry Tree 703

Perry 4484
Perkins 3205
Akins 405
Newkirk 2172
Cedar Valley 405
Cedar Crest 276
Cedar Lake 404
Eagletown 404
Eagle City 40
Wainwright 93
Bowring 78
Bradley 78
Bray 952
Spaulding 149
Wauhillau 307
Nichols Hills 3870
Tryon 378
Goltry 251
Yale 1059
Loyal 71
Nelagoney 71

Wagoner 7621
Norwood 1679
Woodall 816
Atwood 85
Kenwood 904

Pauls Valley 5992
Ripley 346
Temple 862
Kemp 126
Peoria 126
Keota 437
Checotah 3018

Tahlequah 16209
Lequire 127
Grayson 127
Agra 311
Wakita 311
Washita 83
Hitchita 60
Whitefield 371
Shattuck 1249
Chattanooga 400
Rattan 276
Keyes 276
Keys 1030
Park Hill 3193
Paradise Hill 73
Madill 3914
Dill City 420
Mill Creek 293
Flint Creek 741
Deer Creek 78

Pryor Creek 9444
Chouteau 2059

Poteau 8807
Eufaula 2766
Morris 1299
Morrison 723

Stillwater 48394
Stilwell 3700
Wellston 679
Wilson 1399
Wilburton 2285
Milburn 252
Pin Oak Acres 321
Twin Lakes 178
Twin Oaks 328
Fair Oaks 73
Oaks 267
Delaware 267
Butler (Delaware County) 146
Savanna 623
Vanoss 146
Avant 301
Tupelo 327
Soper 225
Alderson 220
Jefferson 9
Ringling 869
Cleo Springs 287
Hammon 479
Drummond 455
Cloud Creek 319

McLoud 4351

Harrah 6245

Warr Acres 10452
Bethel Acres 3029

Bethany 20831
Martha 162
Haworth 291
Arpelar 291
Shady Grove (McIntosh County) 487
Geronimo 1158
Sequoyah 730
Liberty (Sequoyah County) 214
Marietta (Adair County) 82
Marietta 2719
Etta 80
Sasakwa 80
Salem 112
Colony 112
Long 408
Longtown 2659
Bennington 282
Jennings 280
Mallard Bay 280
Mountain Park 320
Mountain View 740
Corn 592

Clinton 8521

Hinton 4917
Lebanon 210
Middleberg 99
Shidler 328
Wetumka 1135
Tatums 111
Sand Hill 339
Sand Point 251
Stoney Point 176
Honey Hill 160
Woodlawn Park 160
Valley Park 19
Bryant 19
Ryan 667
Dry Creek 233
Canadian Shores 233
Canadian 143
Arcadia 169
Caddo 1017
Eldorado 317
Eldon 347
Reydon 137
Lowrey 286
Nicut 286
Bernice 422
Cornish 110
Gene Autry 154
Hunter 145
Enterprise 170
Adamson 69
Adams 148
Adair 732
Tishomingo 3101
Hominy 3329
Pawhuska 2984

Skiatook 8450

Catoosa 7440

Tulsa 413066

Sapulpa 21929
Kiefer 2187

Glenpool 13691
Davenport 809
Smith Village 49
Shady Point 972
Marshall 210
Mulhall 212
Blue 200
Prue 374
Lima 68
South Coffeyville 683
Haywood 150
Baker 37
Foraker 18
Bridgeport 97
Bridge Creek 336
Snake Creek 255
Terral 280
Sperry 1115
Albion 58
Kiowa 595
Webb City 58
Hanson 58
Johnson 457
Proctor 180
Rocky Point 946
Rocky 128
McBride 128
Bromide 123
Whippoorwill 75
White Oak 208
Butler 208
Antlers 2221
Taft 174
Afton 734
Canton 468
Kenton 31
Grainola 31
Inola 1890
Commerce 2271

Purcell 6651

Slaughterville 4163

Noble 6985

Norman 128026
Norge 129
Forgan 450
Byng 1393
Dripping Springs 54
Crescent Springs 184
Crescent 1299

Okmulgee 11322

Muskogee 36878
Tuskahoma 102
Hitchcock 102
Hanna 102
Texanna 2293
Tribbey 337
Amber 413
Tushka 413

Altus 18729
Walters 2412
Schulter 422
Fanshawe 317
Fort Supply 317
Fort Cobb 518
Fort Coffee 335
Fort Towson 492
Fort Gibson 3814
Forest Park 1049
Elm Grove 192
Ingalls 192
Stuart 192
Hartshorne 1947
Chelsea 1991
Ochelata 427
Christie 427

Bristow 4248
Briartown 185
Cleora 1220
Leon 74
Gideon 229
Leonard 262
Edgewater Park 262
Calvin 309

Alva 5028
