

Wichita 397532
St. Benedict 50
Hesston 3505
Westmoreland 740
Wellsville 1953
Riley 938
Richfield 30
Chautauqua 108
Haddam 110
Cedar Point 22
Levant 68
Marienthal 64
Hardtner 167
Garland 31
Agenda 47
Hillsdale 247
Morrowville 114
Willard 74
McFarland 272
Fairview 240
Liebenthal 92
Isabel 68
Melvern 356
Elyria 120
Wright 145
Fort Dodge 97

Goodland 4465
Glade 52
Claflin 562
Wallace 41
Severance 76
Ramona 78
Morganville 180
Formoso 94
Neosho Rapids 229
Holyrood 403
Roseland 76
Viola 115
Brookville 247
Woodston 94
Lancaster 246
Latimer 31
Langdon 39
Lafontaine 58
Neal 37
Randall 79
Cedar 11
Farlington 68
Furley 39
Elmdale 40
Selden 184
Belpre 97
Crestline 116
Wilmore 37
Dresden 43
Alexander 54
Ludell 41
Garfield 151
Carlton 40
Cawker City 457
Herkimer 54
Reserve 67
Grenola 151
Navarre 52
Nashville 54
Bassett 20
Seward 41
Murdock 37
White Cloud 115
Penalosa 18
Savonburg 74
Preston 115
Green 95
Menlo 33
Greenwich 64
Speed 37
Wheaton 98
Athol 41
Home 154
Morland 115
Kanorado 153
Idana 54
Susank 31
Manchester 47
Ames 33
Louisville 131
Logan 460
Highland 903

Overland Park 197238
Manter 132
St. Marys 2759
Bavaria 60
Narka 81
Earlton 60
Argonia 456
Barnes 165
Vassar 584
Catharine 113
Cunningham 444
Nickerson 1058
Zurich 89
Enterprise 708
Prescott 207
Neodesha 2275
Thayer 432
Albert 132

Bel Aire 8262
Elbing 226
Copeland 251
Colony 381
Shallow Water 89
Fowler 534
Lehigh 161
Buhler 1325
Lenora 207
Portis 86
Munjor 232
Frankfort 730
Radley 105
Hepler 90
Andale 941
Almena 363
Pomona 884
Easton 213
Cassoday 113
Cullison 83
Hallowell 101
Howard 570
Sharon 147
Durham 89
Beverly 135
LeRoy 451
Centropolis 100
Kismet 340
Alton 100
Falun 83
McDonald 113
Yale 81
Offerle 179
Greeley 273
Sycamore 70
Redfield 90
Brewster 291
Bern 161
Silverdale 61
Ensign 166
Rush Center 141
Bendena 117
Yoder 165
Edgerton 1748
Uniontown 293
Tribune 772
Geneseo 236
Oneida 61
Denton 130
Milton 155
Leonardville 432
Willowbrook 71
Coyville 60
Haviland 678
Rolla 384
Overbrook 1005
Roxbury 70
Eastborough 756
Greenleaf 350
Wetmore 348
Eureka 2332
Prairie View 106
Admire 130
Goff 106
Bunker Hill 103
Burns 234
Alden 122
Delphos 302
Belvue 177
Mayfield 75
Lowell 244
Elk Falls 113
Elgin 60
Jennings 81
Plains 1037
Smolan 162
Richmond 459
Winchester 461
Weskan 158
Canton 685
Beaumont 36
Zeandale 62
Lyndon 1037
Marion 1922
Frederick 8
Cedar Vale 476
Sylvan Grove 291
Garden Plain 948
Kincaid 103
Arcadia 254
Larned 3769
Ashland 783
Glasco 441
La Harpe 480
Atlanta 168
Norcatur 159
New Cambria 106
Lane 241
The Highlands 349
Mount Hope 806
Rantoul 165
Mound City 647
McLouth 859
Mound Valley 348
Abbyville 83
Wilson 859
Norwich 444
Burdick 62
Gaylord 87
Bird City 437
Tyro 177
Protection 498
Muscotah 155
Wakarusa 242
Rosalia 149
Moline 345
Olmitz 90
Lincolnville 168

Kansas City 156607
Greensburg 740

Hutchinson 40006
Whitewater 661
WaKeeney 1799
Hiawatha 3280
Wayside 19
Nicodemus 14
Collyer 97
Vermillion 76
Oberlin 1644
West Mineral 154
Vining 43

Olathe 141290

Great Bend 14733

Leawood 33902

Dodge City 27788
Blue Mound 219

Andover 14892

Leavenworth 37351
Anthony 2108

Clay Center 4199

Garden City 28151
Garnett 3242
McCune 370

Junction City 22932

Pittsburg 20646
Labette 50
Centerville 78
Benton 943
Webber 30
Culver 114
Dexter 224
Delia 151

Topeka 126587

Wellington 7715
Franklin 473

Pratt 6603

Atchison 10885
Waterville 658
Axtell 399
Hazelton 82
Sabetha 2545
Benedict 69
Republic 82
Treece 138
Long Island 137
Ingalls 252
Kensington 399
Kechi 2217
Neosho Falls 134
Hunnewell 44
Moundridge 1974
South Haven 324
Hanston 259
Chase 396
Harveyville 178
Gridley 313
Leoti 1475
Rossville 1105
Goessel 556
Westwood Hills 400
Weir 569
Summerfield 125
Beattie 197
Atwood 1290
Palmer 125
Altamont 1061
Effingham 495
Williamsburg 390
Lewis 400
Lebanon 178
Scandia 344
Schoenchen 170
Dorrance 146
Grandview Plaza 1697
Plevna 85
Mullinville 197

Rose Hill 4185
Osborne 1335
Rexford 197
Lorraine 137
Raymond 85
Towanda 1447
Windom 85
Sterling 2248
Stark 69
Arlington 435
Waverly 574
Byers 38
Little River 472
Beloit 3404
Rozel 102
Elwood 1125

Lawrence 94934
Fredonia 2151

Edwardsville 4717
Phillipsburg 2337

Prairie Village 22957
Williamstown 96
Asherville 19
Bushong 27
Croweburg 92
Bushton 203
Newbury 78
Turon 309
Leona 41
Huron 74
Burrton 861
Urbana 30

Shawnee 67311
Minneola 738

Lenexa 57434

Independence 8548

De Soto 6118

McPherson 14082
Ionia 17

Parsons 9600

Goddard 5084
Woodbine 157

Salina 46889

Arkansas City 11974

Basehor 6896
Syracuse 1826
New Strawn 414
Scranton 653
Frontenac 3382
Winona 193
Corning 212
Horace 102
Milford 408

Osawatomie 4255
Kiowa 902

Fairway 4170
Lake Quivira 1014
Pawnee Rock 193
St. Paul 614
Soldier 102
Holcomb 2245
Olsburg 218
Bucyrus 171
Ringo 111
Inman 1341
Quinter 929
Pleasanton 1208
Clifton 454
Leon 669
Bartlett 69
Chetopa 929
Holton 3401
Columbus 2929
Chicopee 422
Coldwater 687
Smith Center 1571
Bentley 560
Mulberry 409
Morrill 218
Perry 852
Hope 317
Denison 146
Burdett 228
Meriden 744
Detroit 102
Wilroads Gardens 639
Ransom 260
Simpson 82
Tipton 193
Attica 516
Marquette 599
Olivet 73
Jetmore 770
Montezuma 975

Manhattan 54100

Maize 5735
Mapleton 96
Marysville 3447

Ulysses 5788
Jamestown 237
Cambridge 92
Talmage 78
Macksville 471
Rock 94
Cherokee 590
Kelly 27
Grainfield 322
Odin 87
Whiting 191
Geuda Springs 158
Welda 149
Ada 86
Tampa 105
Niotaze 90
Mayetta 348
Madison 689
Somerset 90
Natoma 302
Edna 388

Derby 25625
Parker 241
Peru 101
Sawyer 89

Emporia 24139
Norway 17

Fort Riley 9230
Erie 1047
Sharon Springs 751
Partridge 209
Palco 208
Walnut 187
Allen 160

Gardner 23287
Cheney 2181
Munden 96
Council Grove 2140

Colby 5570

Coffeyville 8826
Kinsley 1456
Lyons 3611

Mission 9954
Douglass 1555
Latham 96

Haysville 11262

Spring Hill 7952
Baxter Springs 3888

Merriam 11098
Sylvia 215

Hays 21116
Fall River 131
Severy 205
Circleville 153

Liberal 19825
Udall 661
Centralia 485
Bala 29
Halstead 2179
Hillsboro 2732
Troy 964
Brownell 23
Oaklawn-Sunview 2880
Jewell 370

Winfield 11777
Elsmore 50
Valley Falls 1092
Belle Plaine 1467

Valley Center 7340

Newton 18602
Seneca 2139
Zenda 72
Timken 38
Dennis 152
Alta Vista 409
Galva 834
Healy 195

El Dorado 12870

Eudora 6408
Ellsworth 3066
South Mound 27
Dunlap 27

Ottawa 12625

Augusta 9256
Hugoton 3747

Scott City 4113
Sun City 37
Lake City 47
Oketo 64
Mankato 836
Coats 68
Gem 98
Wabaunsee 104
Waldo 30

Lansing 11239
Havensville 119
Pierceville 98
Scottsville 26
Scammon 376
Burlingame 971
Russell Springs 26
New Salem 58
Lost Springs 55
Florence 394
Mildred 25
Mission Woods 203
Opolis 104
Hamlin 25
Kanopolis 443
Harris 47
Gorham 376
Toronto 206
Ford 203
Bridgeport 64
Freeport 5

Chanute 8722
Sedan 1000

Park City 8333
Pretty Prairie 660
Elk City 260
Belleville 2007

Russell 4401
Wilsey 139

Baldwin City 4826
Linn 387
Reading 181
Spearville 791
Harper 1313
Powhattan 69
Emmett 170
Stuttgart 44

Tonganoxie 5573
Miltonvale 440
Clayton 44
Bronson 304
Esbon 69

Bonner Springs 7837
Humboldt 1847

Paola 5768

Roeland Park 6871

Iola 5396

Fort Scott 7552

Abilene 6460
Nortonville 601
Hamilton 182
Cottonwood Falls 851
Coolidge 80
Oskaloosa 1110
Satanta 1092
Caney 1788
Ness City 1329
Tescott 265
Courtland 294
Edmond 28
Medicine Lodge 1781
Edson 17
Onaga 679
Ogallah 28
Wells 45
Danville 29
Virgil 48
Pilsen 65
Hill City 1403
Grantville 182
Mission Hills 3594
Parkerville 46
Hollenberg 10

Louisburg 4969
Bucklin 727
Westphalia 128
Everest 265
Gove City 80
Lincoln Center 1171
Glen Elder 362
Meade 1505
Deerfield 711
Wakefield 858
Walton 219

Mulvane 6286
Bazine 282
Baileyville 182

Concordia 5111
Girard 2496
Stafford 959
St. George 1054
Stockton 1480
Victoria 1129

Wamego 4841
Lindsborg 3776
Blue Rapids 928
Osage City 2861
La Cygne 1050
Quenemo 288
Grinnell 260
Caldwell 1025
Waldron 9
Netawaka 139
Sublette 1413
Gypsum 400
McCracken 152
Silver Lake 1345
Oakley 2046
Kingman 3105
Longford 73
Hartford 355
Galena 2761
Burden 512
Barnard 64
Altoona 354
Englewood 58
Ellinwood 2011
Liberty 99
North Newton 1814
Wathena 1246
Matfield Green 49
Ellis 1958
Linn Valley 956
Willis 24
Milan 56
Fontana 210
Monument 56
Hunter 51
White City 447
Clearwater 2653
Beaver 52
Havana 84
Norton 2747
Dighton 960
Hoisington 2699
Otis 296
Burlington 2634
Auburn 1273
Kirwin 139
Linwood 415
Lakin 2205
La Crosse 1266
South Hutchinson 2521
Herington 2109
Cherryvale 2192
Colwich 1455
Solomon 993
Johnson City 1464
Longton 288
Cimarron 1981
Mahaska 46
St. Marks 124
Climax 45
Damar 112
Mont Ida 23
Minneapolis 1946
Elkhart 1888
Dearing 382
Ogden 1661
Bennington 622
Westwood 1750
Plainville 1746
Oak Hill 24
Niles 56
Eskridge 439
Utica 99
Burr Oak 140
Buffalo 217
Alma 802
New Albany 57
Oswego 1668
Herndon 119
Riverton 771
Lecompton 588
McConnell AFB 1636
Moscow 272
Sedgwick 1603
Horton 1523
Aurora 56
Radium 26
Arma 1407
Carbondale 1352
Chapman 1377
Yates Center 1352
