

Omaha 486051
Ithaca 160
Chappell 844
Belmar 199
Nelson 456
Dannebrog 273
Byron 83
Concord 126
Kilgore 63
Phillips 320
Hubbell 63
Beaver City 537
Smithfield 60
North Loup 254
Wymore 1377
Taylor 141
Thedford 208
Kennard 381
Hadar 280
Stuart 486
Crookston 71
Staplehurst 236
Atlanta 106
Richland 70
Coleridge 537
Holstein 191
Waterloo 935
Santee 424
Clearwater 320
Butte 286
Octavia 107
Belden 113
Guide Rock 199
Crofton 756
Carroll 191
Hallam 268
Rosalie 159
Uehling 241
Ruskin 105
Tryon 107
Hampton 432
Otoe 161
Davey 135
Greeley Center 402
Beemer 611
Peru 648
Snyder 254
Merriman 87
Merna 343
Ericson 89
Homer 532
Hershey 649
Wisner 1239
Whitney 62
Barneston 90
Washington 129
Springfield 1501
Madrid 242
Marquette 236
Endicott 113
Denton 189
De Witt 530
Litchfield 220
Springview 238
Prague 291
Ravenna 1441
Palmyra 534
Callaway 563
Alda 647
Odessa 132
Holmesville 60
Woodland Hills 232
Dodge 611
Grafton 106
Bristow 70
Bradshaw 273
Harrison 239
Wilsonville 75
Lakeview 378
McGrew 75
Colon 107
Lorenzo 36
Morrill 934
Orchard 363
Lynch 194
Miller 129
Silver Creek 320
Crawford 840
Brady 383
Franklin 941
St. Libory 241
Milligan 244
Yankee Hill 286
Naponee 83
Winnebago 916
Dunbar 165
Heartwell 81
Curtis 806
Jackson 207
Raymond 159
Morse Bluff 117
Jansen 101
Winside 379
Brainard 336
Brock 123
Hyannis 165
Venice 75
Pickrell 186
Pierce 1845
Naper 89
Berwyn 75
Belgrade 103

Lincoln 291082

Scottsbluff 14436
Thurston 116
Winnetoon 54
Riverton 57
Martin 76
Sarben 31
Campbell 272
Amherst 201

Gering 8564
Center 79
Lewellen 175
Inavale 66
Diller 247
Obert 22
Archer 68
Hubbard 153
Arcadia 283
Tarnov 52
Burchard 76
Cordova 92
Newport 68
Nemaha 114
Haigler 145
Enders 37
Hayes Center 224
Cowles 21
McLean 33
Herman 247
Martinsburg 78
Magnet 43
Fontanelle 67
Huntley 33
Gilead 30
Poole 22
Cornlea 33
Hordville 131
Virginia 74
Cushing 37
Daykin 153
Rising City 356
Strang 30
Bloomington 110
Beaver Crossing 375
Craig 202
Ohiowa 120
Willow Island 25
Dwight 229
Hardy 97
Parks 12
Carleton 92
Decatur 410
Surprise 37
Riverdale 247
Westerville 31
Steinauer 59
Inman 95
Overland 202
Ragan 22

Alliance 8151

Grand Island 53131

Hickman 2607

Ashland 3086
Cortland 504
Firth 649
Culbertson 534
Brule 331
Ansley 459
Salem 83
Alexandria 148

Bellevue 64176

Beatrice 12261
Battle Creek 1194
Atkinson 1306
Sterling 480
Bruning 281

Kearney 33790
Barada 21
Raeville 18
Walthill 682
Alvo 115
Bow Valley 95
Dalton 284
Halsey 68
Champion 115
Wolbach 224
Wood River 1172
Holbrook 201
Prosser 76
Chester 224
Brewster 12
Newcastle 272
Western 227
Stockville 25
Bazile Mills 26
Hazard 57
Leshara 108
Bushnell 115
Agnew 30
Rulo 145
Anselmo 108
Howells 561
Boys Town 410
Comstock 68
Johnstown 47
Tobias 114
Melia 98
Mitchell 1548
Hendley 20
Lindsay 283
South Bend 92
Liberty 37
Davenport 319
Cedar Creek 465
Eddyville 88
Benedict 203
Melbeta 108
Stella 145
Bladen 205

Fremont 27141
Lorton 35
Nora 21

North Platte 23390

West Point 3500
Lindy 13

Lexington 10348
Saronville 35
Brownlee 13

Nebraska City 7222
Murray 480

Hastings 25152
Hamlet 27
Gurley 187
Rockville 89

Norfolk 24955
Linoma Beach 43
Lisco 68
Linwood 94

Papillion 24159

South Sioux City 14043
Elm Creek 979
Mason City 151
Johnson 309

Columbus 24028

Holdrege 5515
Loretto 50

Aurora 4678

Chadron 5206
Cairo 822
King Lake 114
Inglewood 380
Cook 319
Maywood 262
Malcolm 457
Malmo 94
Imperial 2068

Ogallala 4878

Central City 3039
White Clay 8
Exeter 523
Emerson 840
Lyons 824
Dawson 148
Clarkson 641
Douglas 166

La Vista 16746
Du Bois 122

Chalco 11064

Cozad 3988

York 8066
Moorefield 27

Plattsmouth 6544
Utica 840
Stamford 158

Blair 7790

Fairbury 3970
Fairmont 592
Shelton 1034

Gothenburg 3478
Bennet 1082

Sidney 6410

Seward 7643
Arnold 592
Arthur 128

Auburn 3470

McCook 7446
Fordyce 134
Howard City 181
Gordon 1504
Sutton 1447
Plymouth 364
Aten 134
Steele City 44
Weston 250
Pleasanton 361
Platte Center 333
Allen 355
Henry 125
Clay Center 735
Oconto 138
Stratton 310
Niobrara 365
Brunswick 152
Bridgeport 1454
Fullerton 1244

St. Paul 2416
Stromsburg 1143
Bancroft 496
Upland 125
Swanton 82
Wallace 318
Albion 1699
Pleasant Dale 218
Leigh 435
Stapleton 267
Plainview 1282

David City 2995
Elk Creek 69
Hildreth 377
Trenton 516
Ashton 198
Edison 111
Creston 181
Arlington 1300
Orleans 341

Milford 2155
Harvard 951
Woodland Park 1830

Minden 3118
Genoa 894
Benkelman 821
Wann 102
Duncan 392
Indianola 524
Osmond 794
Union 195
Monroe 296
Clinton 38
Ewing 373
Wilber 1937
Blue Hill 805
Martell 125
Potter 342
Bartlett 109
Shubert 163
Shickley 347
Republican City 134
Pawnee City 865
Sumner 252
Rogers 82
Thayer 44
Verdel 38
Axtell 732
Terrytown 1057
Walton 351
Waco 296
Farwell 138
Elgin 717
Maxwell 257
Lyman 259
Bertrand 709
Tamora 44
Sprague 136
Memphis 109
Prairie Home 38
Mead 617
Unadilla 296
Adams 604
Tekamah 1714
Waterbury 72

Crete 7099
Preston 19
Bennington 2026

Ralston 6494

Valley 3037

Falls City 4133

Kimball 2290

Schuyler 6547

Wayne 5973
St. Edward 725

Offutt AFB 5363

Gretna 5083

Wahoo 4818

Waverly 4279
Pilger 240
Long Pine 305
Big Springs 394

O'Neill 3581

Broken Bow 3506
Roca 201

Valentine 2633
Neligh 1536
Elwood 658
Hooper 857
Ceresco 919
Deshler 752

Madison 2283
Meadow Grove 287
Murdock 270
Oxford 718
Bayard 1140
Sargent 500
Glenvil 260
Spencer 408
Glenwood 503
Bloomfield 986
Spalding 408
Alma 1043
Oakdale 276
Eagle 1065
Talmage 198
Yutan 1347
Oakland 1369
Henderson 1080
Overton 607
Keystone 73
Kenesaw 919
Dorchester 610

Geneva 2136
Scribner 843
