

Manchester 115644
Barnstead 4915
Seabrook 8401
East Merrimack 5176
Rindge 6476
Franklin 8741
Sandown 6548

Dover 32741
Canterbury 2389
Mont Vernon 2584
Tilton Northfield 3324
Tamworth 2812
Nottingham 5229
Tilton 3962
New Boston 6108
Allenstown 4707
Atkinson 7087
Brookline 5639
Fitzwilliam 2351
Candia 4013
Boscawen 3998
Moultonborough 4918
Raymond 3738

Portsmouth 21956
Pittsfield 1570
Pinardville 5034
Strafford 4230
Webster 1913
Kingston 6202
Gilmanton 3945

Barrington 9326
Hopkinton 5914

Claremont 12949
Thornton 2708
Hooksett 5283
Newmarket 5797

Merrimack 26632

Exeter 10109
Middleton 1823
North Hampton 4538
New Durham 2693
Newton 4820

Hampton 9597

Windham 15817
Greenland 4067
Deerfield 4855

Rochester 32492

Nashua 91322
Hudson 7534

Concord 43976
New London 1266

Keene 23047
Pembroke 7207
Hillsborough 2156
Bow 8229
Francestown 1610
Chesterfield 3552
Litchfield 8478
Hollis 8342

Salem 30089

Bedford 23322

Derry 22879
Rye 5543

Laconia 16871
Conway 3576

Lebanon 14282
Wolfeboro 3300
Brentwood 4490

Somersworth 11855

Pelham 14222
Harrisville 984
Errol 298
Andover 2406
Albany 759
Franconia 1083
Canaan 442
Center Sandwich 156
Westmoreland 1706
Warren 825
Bartlett 351
Lempster 1118
Danville 4408
Colebrook 1201
Groton 569
South Hampton 894
Milton 593
Gilford 7699
Gorham 1851
Northwood 4641
Stratham 7669

Londonderry 11645
Hart's Location 68
Lancaster 1941
Peterborough 3090
Orford 1237
North Woodstock 739
Dunbarton 3005
Dublin 1532
Kensington 2095
Campton 3343

Durham 11147

Berlin 9425

Hanover 9078
Haverhill 4585
Wilmot 1407
Newington 811
Epping 2693

Milford 9212
Northfield 4872
Belmont 1285
Whitefield 1460
Alstead 1864

Weare 9092

Hampstead 8998
Center Harbor 1040
Dorchester 339
Freedom 1689
Hill 1017
Jackson 1028
Lisbon 965
Union 196
Grafton 1385
Randolph 328
Blodgett Landing 152
Springfield 1259
Brookfield 755
Contoocook 1427
Woodsville 1431
Stoddard 1374
Rollinsford 2597
North Haverhill 843
Grantham 3404
New Hampton 373
Newport 4735
New Ipswich 5204
West Swanzey 1281
Milan 1358
Plainfield 178
Temple 1382
Chichester 2665
Henniker 3166
Greenfield 1716
Plaistow 7830
West Stewartstown 263
Swanzey 7270
Auburn 5946
Jefferson 1043
Klondike Corner 652
South Hooksett 5888
Epsom 4834
Suncook 5501
Gilsum 752
Melvin Village 273
Langdon 651
Hancock 213
Columbia 659
Carroll 820
Walpole 573
Bridgewater 1160
Chatham 341
Chester 5232
Bethlehem 826
Waterville Valley 508
Milton Mills 313
Wakefield 5201
Ellsworth 93
Bath 1077
Monroe 864
Dalton 933
Sanbornton 3026
Antrim 1395
Ashland 1082
Orange 277
Lyman 585
Sanbornville 963
Cornish 1616
Suissevale 328
Sunapee 3342
Hinsdale 1485
Lincoln 969
Sullivan 658
Landaff 446
Goffstown 3366
Fremont 4739
Eaton 405
Stratford 662
Amherst 697
East Kingston 2441
Alton 499
Alexandria 1776
North Walpole 785
North Conway 2116
New Castle 1000
Rumney 1498
Washington 1192
Warner 453
Marlow 749
Surry 820
Shelburne 353
Madbury 1918
Plymouth 4730
Meredith 2527
Unity 1518
Lee 4520
Littleton 4467
Farmington 3824
Jaffrey 3058
Salisbury 1422
Bristol 1911
Stewartstown 813
Stark 478
Sugar Hill 647
Sharon 359
Roxbury 220
Croydon 801
Mason 1448
Wilton 1324
Bennington 338
Easton 292
Hampton Beach 2598
Madison 2565
Tuftonboro 2467
Hampton Falls 2403
Benton 374
Piermont 769
Wentworth 845
Newbury 2172
Greenville 1074
Clarksville 294
Charlestown 1078
Marlborough 1066
Troy 1108
Lyndeborough 1702
Deering 1904
Windsor 262
Richmond 1197
Winchester 1606
Northumberland 2126
Acworth 853
Woodstock 1434
Holderness 2004
Sutton 1978
Groveton 1068
Lyme 1745
Enfield 1571
Effingham 1691
Danbury 1250
Seabrook Beach 1078
Bradford 372
Pittsburg 800
Goshen 796
Center Ossipee 526
Loudon 711
Hebron 632
Nelson 629
Newfields 378
Mountain Lakes 504
Dummer 306
